-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.50
  0 (anger)      16.50     6.00     3.00
  0 (anger)      25.50     6.00     2.25
  0 (anger)      33.75     6.00     3.75
  1 (disgust)    43.50     6.00     2.25
  1 (disgust)    51.75     6.00     5.00
  0 (anger)      62.75     6.00     2.50
  1 (disgust)    71.25     6.00     3.50
  0 (anger)      80.75     6.00     4.25
  0 (anger)      91.00     6.00     2.75
  1 (disgust)    99.75     6.00     3.75
  0 (anger)     109.50     6.00     4.00
  0 (anger)     119.50     6.00     3.25
  0 (anger)     128.75     6.00     5.00
  0 (anger)     139.75     6.00     3.75
  1 (disgust)   149.50     6.00     6.75
  1 (disgust)   162.25     6.00     2.50
  1 (disgust)   170.75     6.00     3.25
  1 (disgust)   180.00     6.00     8.50
  0 (anger)     194.50     6.00     3.75
  1 (disgust)   204.25     6.00     2.25
  0 (anger)     212.50     6.00     2.00
  1 (disgust)   220.50     6.00     3.00
  1 (disgust)   229.50     6.00     2.75
  1 (disgust)   238.25     6.00     4.00
  0 (anger)     248.25     6.00     2.50
  0 (anger)     256.75     6.00     2.75
  1 (disgust)   265.50     6.00     3.00
  0 (anger)     274.50     6.00     4.50
  0 (anger)     285.00     6.00     6.50
  1 (disgust)   297.50     6.00     4.25
  0 (anger)     307.75     6.00     5.75
  1 (disgust)   319.50     6.00     2.50
  0 (anger)     328.00     6.00     5.50
  0 (anger)     339.50     6.00     3.25
  1 (disgust)   348.75     6.00     5.50
  1 (disgust)   360.25     6.00     2.50
  1 (disgust)   368.75     6.00     2.25
  0 (anger)     377.00     6.00     4.50
  0 (anger)     387.50     6.00     6.25
  0 (anger)     399.75     6.00     7.50
  0 (anger)     413.25     6.00     2.00
  1 (disgust)   421.25     6.00     3.50
  1 (disgust)   430.75     6.00     2.00
  0 (anger)     438.75     6.00     3.00
  0 (anger)     447.75     6.00     7.00
  0 (anger)     460.75     6.00     3.25
  0 (anger)     470.00     6.00     4.75
  0 (anger)     480.75     6.00     4.75
  1 (disgust)   491.50     6.00     2.25
  1 (disgust)   499.75     6.00     5.25
  1 (disgust)   511.00     6.00     9.50
  0 (anger)     526.50     6.00     4.25
  1 (disgust)   536.75     6.00     6.00
  0 (anger)     548.75     6.00     2.75
  0 (anger)     557.50     6.00     2.75
  0 (anger)     566.25     6.00     2.25
  0 (anger)     574.50     6.00     3.50
  1 (disgust)   584.00     6.00     8.00
  1 (disgust)   598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     4.00
  0 (anger)      18.00     6.00     2.75
  1 (disgust)    26.75     6.00     2.50
  0 (anger)      35.25     6.00     3.50
  0 (anger)      44.75     6.00     2.00
  0 (anger)      52.75     6.00     2.50
  1 (disgust)    61.25     6.00     6.25
  1 (disgust)    73.50     6.00     2.50
  0 (anger)      82.00     6.00     6.75
  1 (disgust)    94.75     6.00     2.75
  1 (disgust)   103.50     6.00     3.00
  1 (disgust)   112.50     6.00     6.50
  0 (anger)     125.00     6.00     2.25
  1 (disgust)   133.25     6.00     3.25
  0 (anger)     142.50     6.00     2.50
  0 (anger)     151.00     6.00     4.25
  1 (disgust)   161.25     6.00     3.75
  1 (disgust)   171.00     6.00     8.50
  0 (anger)     185.50     6.00     2.00
  1 (disgust)   193.50     6.00     5.50
  1 (disgust)   205.00     6.00     4.75
  1 (disgust)   215.75     6.00     5.25
  1 (disgust)   227.00     6.00     2.75
  0 (anger)     235.75     6.00     4.50
  0 (anger)     246.25     6.00     2.25
  1 (disgust)   254.50     6.00     2.25
  1 (disgust)   262.75     6.00     3.75
  1 (disgust)   272.50     6.00     2.25
  0 (anger)     280.75     6.00     5.00
  1 (disgust)   291.75     6.00     3.75
  1 (disgust)   301.50     6.00     9.50
  1 (disgust)   317.00     6.00     2.50
  0 (anger)     325.50     6.00     3.50
  1 (disgust)   335.00     6.00     8.00
  1 (disgust)   349.00     6.00     4.50
  0 (anger)     359.50     6.00     6.00
  0 (anger)     371.50     6.00     4.00
  1 (disgust)   381.50     6.00     5.50
  1 (disgust)   393.00     6.00     5.75
  0 (anger)     404.75     6.00     2.00
  0 (anger)     412.75     6.00     4.25
  1 (disgust)   423.00     6.00     3.00
  0 (anger)     432.00     6.00     3.50
  0 (anger)     441.50     6.00     3.75
  0 (anger)     451.25     6.00     2.50
  1 (disgust)   459.75     6.00     5.00
  0 (anger)     470.75     6.00     3.00
  1 (disgust)   479.75     6.00     3.25
  1 (disgust)   489.00     6.00     2.25
  0 (anger)     497.25     6.00     7.00
  1 (disgust)   510.25     6.00     7.50
  0 (anger)     523.75     6.00     4.75
  1 (disgust)   534.50     6.00     2.75
  1 (disgust)   543.25     6.00     3.00
  0 (anger)     552.25     6.00     3.25
  1 (disgust)   561.50     6.00     4.25
  0 (anger)     571.75     6.00     2.75
  0 (anger)     580.50     6.00     2.25
  0 (anger)     588.75     6.00     3.25
  1 (disgust)   598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.00
  0 (anger)      17.00     6.00     2.50
  1 (disgust)    25.50     6.00     2.25
  1 (disgust)    33.75     6.00     7.50
  1 (disgust)    47.25     6.00     4.25
  0 (anger)      57.50     6.00     2.00
  0 (anger)      65.50     6.00     2.00
  0 (anger)      73.50     6.00     3.00
  0 (anger)      82.50     6.00     2.50
  0 (anger)      91.00     6.00     3.25
  0 (anger)     100.25     6.00     4.25
  1 (disgust)   110.50     6.00     2.75
  1 (disgust)   119.25     6.00     9.50
  1 (disgust)   134.75     6.00     4.25
  1 (disgust)   145.00     6.00     5.25
  1 (disgust)   156.25     6.00     2.75
  0 (anger)     165.00     6.00     5.00
  1 (disgust)   176.00     6.00     3.00
  1 (disgust)   185.00     6.00     2.25
  0 (anger)     193.25     6.00     3.00
  0 (anger)     202.25     6.00     3.75
  1 (disgust)   212.00     6.00     8.00
  1 (disgust)   226.00     6.00     3.75
  1 (disgust)   235.75     6.00     4.75
  0 (anger)     246.50     6.00     5.75
  0 (anger)     258.25     6.00     4.50
  1 (disgust)   268.75     6.00     4.00
  1 (disgust)   278.75     6.00     4.75
  1 (disgust)   289.50     6.00     2.50
  0 (anger)     298.00     6.00     5.50
  0 (anger)     309.50     6.00     5.50
  1 (disgust)   321.00     6.00     6.75
  0 (anger)     333.75     6.00     4.50
  1 (disgust)   344.25     6.00     3.50
  1 (disgust)   353.75     6.00     2.50
  1 (disgust)   362.25     6.00     3.25
  1 (disgust)   371.50     6.00     2.25
  0 (anger)     379.75     6.00     8.50
  0 (anger)     394.25     6.00     2.75
  0 (anger)     403.00     6.00     4.00
  0 (anger)     413.00     6.00     2.75
  0 (anger)     421.75     6.00     2.25
  1 (disgust)   430.00     6.00     6.00
  0 (anger)     442.00     6.00     3.25
  1 (disgust)   451.25     6.00     3.75
  1 (disgust)   461.00     6.00     7.00
  1 (disgust)   474.00     6.00     2.50
  0 (anger)     482.50     6.00     2.00
  1 (disgust)   490.50     6.00     3.50
  0 (anger)     500.00     6.00     3.75
  0 (anger)     509.75     6.00     2.50
  0 (anger)     518.25     6.00     6.50
  0 (anger)     530.75     6.00     5.00
  1 (disgust)   541.75     6.00     6.25
  1 (disgust)   554.00     6.00     3.50
  0 (anger)     563.50     6.00     2.25
  1 (disgust)   571.75     6.00     3.25
  0 (anger)     581.00     6.00     2.25
  1 (disgust)   589.25     6.00     2.75
  0 (anger)     598.00     6.00     0.00

