-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.00
  1 (disgust)    17.00     6.00     3.50
  0 (anger)      26.50     6.00     2.25
  0 (anger)      34.75     6.00     2.50
  0 (anger)      43.25     6.00     3.75
  1 (disgust)    53.00     6.00     2.75
  1 (disgust)    61.75     6.00     2.75
  1 (disgust)    70.50     6.00     2.50
  0 (anger)      79.00     6.00     6.00
  1 (disgust)    91.00     6.00     2.50
  1 (disgust)    99.50     6.00     5.75
  0 (anger)     111.25     6.00     3.00
  1 (disgust)   120.25     6.00     4.00
  1 (disgust)   130.25     6.00     4.25
  1 (disgust)   140.50     6.00     3.75
  1 (disgust)   150.25     6.00     8.00
  0 (anger)     164.25     6.00     3.00
  1 (disgust)   173.25     6.00     3.00
  0 (anger)     182.25     6.00     2.25
  0 (anger)     190.50     6.00     2.50
  1 (disgust)   199.00     6.00     6.25
  0 (anger)     211.25     6.00     3.75
  0 (anger)     221.00     6.00     2.75
  1 (disgust)   229.75     6.00     3.25
  1 (disgust)   239.00     6.00     4.50
  0 (anger)     249.50     6.00     2.75
  0 (anger)     258.25     6.00     2.00
  0 (anger)     266.25     6.00     5.00
  1 (disgust)   277.25     6.00     2.00
  0 (anger)     285.25     6.00     3.75
  0 (anger)     295.00     6.00     6.50
  0 (anger)     307.50     6.00     2.00
  0 (anger)     315.50     6.00     4.25
  1 (disgust)   325.75     6.00     3.25
  1 (disgust)   335.00     6.00     7.00
  1 (disgust)   348.00     6.00     5.50
  1 (disgust)   359.50     6.00     4.75
  1 (disgust)   370.25     6.00     4.75
  0 (anger)     381.00     6.00     6.75
  0 (anger)     393.75     6.00     4.25
  1 (disgust)   404.00     6.00     3.25
  1 (disgust)   413.25     6.00     2.25
  0 (anger)     421.50     6.00     7.50
  1 (disgust)   435.00     6.00     8.50
  0 (anger)     449.50     6.00     2.25
  0 (anger)     457.75     6.00     2.25
  0 (anger)     466.00     6.00     5.25
  1 (disgust)   477.25     6.00     5.50
  1 (disgust)   488.75     6.00     4.00
  1 (disgust)   498.75     6.00     2.50
  0 (anger)     507.25     6.00     2.75
  0 (anger)     516.00     6.00     3.50
  1 (disgust)   525.50     6.00     3.50
  0 (anger)     535.00     6.00     3.25
  0 (anger)     544.25     6.00     5.00
  0 (anger)     555.25     6.00     4.50
  1 (disgust)   565.75     6.00     2.25
  1 (disgust)   574.00     6.00     2.50
  1 (disgust)   582.50     6.00     9.50
  0 (anger)     598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.00
  1 (disgust)    17.00     6.00     2.75
  1 (disgust)    25.75     6.00     3.25
  0 (anger)      35.00     6.00     4.25
  1 (disgust)    45.25     6.00     2.25
  0 (anger)      53.50     6.00     2.50
  0 (anger)      62.00     6.00     3.50
  1 (disgust)    71.50     6.00     4.50
  0 (anger)      82.00     6.00     5.50
  1 (disgust)    93.50     6.00     5.75
  0 (anger)     105.25     6.00     8.00
  0 (anger)     119.25     6.00     2.75
  0 (anger)     128.00     6.00     3.75
  0 (anger)     137.75     6.00     4.25
  0 (anger)     148.00     6.00     2.75
  0 (anger)     156.75     6.00     2.50
  1 (disgust)   165.25     6.00     6.25
  1 (disgust)   177.50     6.00     2.50
  1 (disgust)   186.00     6.00     2.50
  0 (anger)     194.50     6.00     2.50
  0 (anger)     203.00     6.00     3.75
  1 (disgust)   212.75     6.00     2.75
  0 (anger)     221.50     6.00     3.25
  1 (disgust)   230.75     6.00     7.50
  1 (disgust)   244.25     6.00     3.00
  0 (anger)     253.25     6.00     2.25
  0 (anger)     261.50     6.00     4.75
  1 (disgust)   272.25     6.00     2.75
  1 (disgust)   281.00     6.00     3.00
  0 (anger)     290.00     6.00     3.50
  0 (anger)     299.50     6.00     2.25
  1 (disgust)   307.75     6.00     8.50
  0 (anger)     322.25     6.00     5.25
  0 (anger)     333.50     6.00     4.75
  1 (disgust)   344.25     6.00     3.25
  1 (disgust)   353.50     6.00     7.00
  1 (disgust)   366.50     6.00     2.25
  0 (anger)     374.75     6.00     4.50
  1 (disgust)   385.25     6.00     2.25
  1 (disgust)   393.50     6.00     6.75
  0 (anger)     406.25     6.00     6.00
  1 (disgust)   418.25     6.00     3.75
  1 (disgust)   428.00     6.00     5.50
  1 (disgust)   439.50     6.00     2.00
  0 (anger)     447.50     6.00     4.25
  0 (anger)     457.75     6.00     3.00
  0 (anger)     466.75     6.00     5.00
  0 (anger)     477.75     6.00     3.50
  1 (disgust)   487.25     6.00     4.00
  1 (disgust)   497.25     6.00     3.75
  0 (anger)     507.00     6.00     5.00
  1 (disgust)   518.00     6.00     2.00
  0 (anger)     526.00     6.00     4.00
  0 (anger)     536.00     6.00     2.00
  1 (disgust)   544.00     6.00     6.50
  0 (anger)     556.50     6.00     2.50
  1 (disgust)   565.00     6.00     9.50
  0 (anger)     580.50     6.00     2.25
  0 (anger)     588.75     6.00     3.25
  1 (disgust)   598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     4.50
  0 (anger)      18.50     6.00     3.25
  0 (anger)      27.75     6.00     2.25
  1 (disgust)    36.00     6.00     3.25
  0 (anger)      45.25     6.00     2.50
  0 (anger)      53.75     6.00     2.25
  0 (anger)      62.00     6.00     2.25
  0 (anger)      70.25     6.00     2.75
  1 (disgust)    79.00     6.00     2.00
  1 (disgust)    87.00     6.00     2.50
  1 (disgust)    95.50     6.00     3.75
  0 (anger)     105.25     6.00     5.50
  0 (anger)     116.75     6.00     6.25
  1 (disgust)   129.00     6.00     4.25
  0 (anger)     139.25     6.00     2.50
  1 (disgust)   147.75     6.00     2.25
  1 (disgust)   156.00     6.00     2.50
  1 (disgust)   164.50     6.00     7.00
  0 (anger)     177.50     6.00     2.75
  1 (disgust)   186.25     6.00     3.25
  0 (anger)     195.50     6.00     3.00
  0 (anger)     204.50     6.00     7.50
  1 (disgust)   218.00     6.00     2.50
  0 (anger)     226.50     6.00     4.25
  0 (anger)     236.75     6.00     3.75
  1 (disgust)   246.50     6.00     3.50
  1 (disgust)   256.00     6.00     3.00
  0 (anger)     265.00     6.00     5.25
  0 (anger)     276.25     6.00     2.75
  0 (anger)     285.00     6.00     2.25
  0 (anger)     293.25     6.00     2.75
  0 (anger)     302.00     6.00     5.00
  1 (disgust)   313.00     6.00     3.50
  1 (disgust)   322.50     6.00     5.50
  1 (disgust)   334.00     6.00     5.00
  0 (anger)     345.00     6.00     3.00
  1 (disgust)   354.00     6.00     3.75
  1 (disgust)   363.75     6.00     3.25
  1 (disgust)   373.00     6.00     8.50
  0 (anger)     387.50     6.00     5.75
  1 (disgust)   399.25     6.00     6.50
  1 (disgust)   411.75     6.00     2.00
  0 (anger)     419.75     6.00     4.75
  0 (anger)     430.50     6.00     9.50
  0 (anger)     446.00     6.00     6.75
  1 (disgust)   458.75     6.00     3.75
  1 (disgust)   468.50     6.00     2.25
  0 (anger)     476.75     6.00     6.00
  1 (disgust)   488.75     6.00     2.75
  0 (anger)     497.50     6.00     3.00
  0 (anger)     506.50     6.00     2.50
  1 (disgust)   515.00     6.00     4.75
  0 (anger)     525.75     6.00     8.00
  1 (disgust)   539.75     6.00     4.50
  0 (anger)     550.25     6.00     4.00
  1 (disgust)   560.25     6.00     4.00
  0 (anger)     570.25     6.00     2.00
  1 (disgust)   578.25     6.00     4.25
  1 (disgust)   588.50     6.00     3.50
  1 (disgust)   598.00     6.00     0.00

