AX,1460,380
AY,1520,360
AX,1540,400
BX,1580,460
BX,1420,440
AX,1540,300
AX,1420,480
BY,1520,440
BX,1500,480
AX,1460,320
AY,1400,380
AX,1420,460
BY,1600,400
BX,1540,360
AX,1600,520
BX,1580,360
AX,1560,360
AX,1440,520
AY,1540,600
AX,1400,320
AX,1560,560
BX,1440,380
AX,1580,420
BY,1400,540
AX,1440,520
AX,1580,420
AX,1500,400
BX,1420,540
AX,1520,580
AX,1420,440
AX,1600,580
AX,1580,400
BY,1480,600
BY,1400,580
AY,1400,600
AX,1600,320
AX,1500,440
AX,1580,500
AX,1520,500
AX,1400,420
AY,1400,460
AX,1500,600
AY,1460,360
AX,1560,440
AX,1460,440
AY,1560,360
AX,1540,480
AX,1460,300
AX,1560,520
AX,1420,460
AX,1520,360
AX,1460,600
AX,1540,400
AY,1540,380
AY,1420,320
AX,1540,380
BX,1500,360
AY,1400,520
BX,1400,520
BX,1480,300
BY,1520,540
AY,1460,460
BY,1480,500
AX,1420,520
AX,1520,460
AX,1500,600
BX,1600,560
AX,1600,580
BX,1500,500
AX,1600,540
AX,1560,400
AX,1440,480
AX,1520,340
AX,1420,340
AX,1460,420
AX,1600,320
AX,1480,300
AX,1560,340
AY,1560,540
BY,1400,340
