AX,1420,420
AX,1580,320
AX,1460,520
AX,1480,600
BX,1520,500
BX,1440,300
AX,1420,480
AX,1400,320
BX,1400,400
AX,1540,400
AX,1500,300
AX,1560,460
AY,1540,340
AY,1480,380
AX,1520,580
BY,1560,300
AY,1480,320
AX,1420,400
AX,1600,300
BY,1500,500
AX,1560,440
AX,1400,520
AY,1560,400
BX,1420,540
BX,1500,420
AX,1600,460
BX,1540,460
AY,1560,440
AX,1540,460
AX,1440,420
AX,1440,500
AX,1400,480
AX,1580,520
AX,1560,560
AY,1440,440
AX,1460,600
AY,1560,320
AX,1600,440
AX,1460,580
AX,1580,420
AX,1540,580
BY,1460,520
AX,1440,320
AX,1500,360
AY,1440,500
BY,1560,580
BX,1560,360
AX,1540,380
AY,1600,560
AX,1460,360
AX,1580,560
AX,1460,560
BX,1560,480
AY,1540,500
AX,1420,560
AX,1540,340
AX,1580,460
BX,1600,520
AX,1480,380
AX,1460,520
AY,1480,460
AX,1540,480
AX,1520,560
BY,1600,600
BX,1420,300
AX,1440,540
AX,1440,460
BX,1580,600
AX,1540,420
AX,1540,500
BY,1460,360
AX,1480,360
BY,1440,360
AX,1600,580
AY,1580,300
AX,1440,420
AX,1480,560
AX,1420,460
BY,1560,580
BX,1480,460
