AX,1480,420
AY,1600,560
BX,1480,520
AX,1480,500
AX,1520,320
AY,1560,600
BX,1400,600
AX,1540,600
AX,1440,340
AY,1460,300
AY,1560,540
AX,1400,380
AY,1580,300
AX,1480,340
AX,1580,540
AX,1420,300
AX,1440,460
AY,1560,600
BY,1540,520
AX,1600,580
BX,1460,600
AX,1460,460
BY,1520,400
AX,1460,440
BX,1500,320
BX,1600,440
AX,1420,580
BY,1600,380
AX,1480,340
AY,1580,560
AX,1420,320
AX,1420,580
BX,1580,580
AX,1500,540
BY,1500,360
BX,1560,380
AX,1500,600
AX,1580,480
AY,1400,520
BY,1420,460
BX,1500,440
AX,1480,520
BY,1420,540
AY,1560,460
AX,1420,360
BX,1500,380
AX,1420,320
BX,1520,420
AX,1460,500
AX,1580,520
AX,1520,340
BY,1400,360
AX,1520,300
AY,1460,340
AX,1560,400
AX,1520,320
AX,1520,460
AX,1400,460
AX,1540,540
AX,1420,440
AX,1420,440
BX,1440,580
AX,1540,560
AX,1500,600
AX,1500,300
AX,1460,580
AY,1580,360
AX,1520,540
AY,1520,300
AX,1600,340
BX,1480,500
AX,1600,600
AX,1440,460
AX,1540,480
AX,1600,560
AX,1460,500
AX,1440,520
BY,1560,400
AX,1560,460
AX,1420,540
