AY,1440,360
AX,1480,340
AX,1600,320
AX,1420,380
AX,1580,580
AX,1440,320
AX,1460,360
BX,1540,600
AX,1400,400
AX,1440,300
AX,1600,360
AX,1400,300
AY,1560,340
AY,1480,460
AY,1540,360
AX,1480,560
AX,1460,460
BY,1520,380
AX,1400,480
AX,1580,540
AX,1580,340
BY,1500,440
AY,1420,380
AX,1480,580
AX,1520,360
AX,1580,480
AY,1540,600
AX,1460,480
AX,1600,320
AX,1600,480
AX,1600,300
AX,1520,400
AX,1420,340
AY,1460,580
BX,1520,520
AX,1500,500
AX,1580,440
AX,1560,560
BX,1440,420
AX,1440,540
BX,1400,540
AX,1500,520
BX,1460,460
AX,1560,540
BX,1520,440
AX,1520,500
AY,1500,580
AX,1600,560
AY,1400,360
AX,1400,560
BY,1480,560
AX,1560,520
BX,1580,360
AX,1540,460
AY,1580,580
AX,1560,600
BX,1440,400
AY,1580,600
AX,1560,600
AX,1460,340
AX,1520,380
BX,1460,320
AX,1480,440
BX,1440,340
AX,1480,420
AX,1540,480
AX,1420,320
AX,1580,400
AY,1600,600
BY,1540,600
AX,1500,580
BX,1500,440
BY,1580,380
AX,1580,320
BX,1400,300
AX,1460,580
BY,1520,320
BY,1600,600
AX,1500,520
BY,1540,500
