AY,1600,440
AY,1500,400
AX,1580,360
AX,1480,400
AX,1420,540
AX,1440,400
AX,1480,460
AX,1560,420
BX,1400,560
AX,1580,420
AX,1480,420
AY,1560,560
AX,1440,520
AX,1540,340
BX,1560,360
AX,1480,320
BY,1440,360
BX,1600,380
AX,1460,440
AY,1420,520
AX,1520,340
AX,1520,320
AX,1500,300
AY,1400,480
BY,1500,360
BX,1420,360
AX,1420,500
BY,1500,480
AX,1580,400
AX,1460,300
AX,1460,420
BX,1440,520
BX,1420,400
AX,1480,500
AY,1520,520
AY,1500,320
AY,1520,320
BY,1400,500
AX,1420,520
AY,1600,520
BY,1520,500
AX,1440,460
BX,1420,360
AY,1520,520
AX,1460,520
AX,1500,560
AX,1460,300
AX,1480,580
AX,1460,320
AX,1420,300
AX,1600,540
AX,1560,460
BX,1600,360
AX,1480,600
BX,1480,380
AX,1540,600
AX,1560,600
AX,1560,500
AX,1440,520
AX,1500,460
BX,1520,320
AX,1400,340
AX,1520,380
BX,1520,360
BY,1480,380
AX,1500,600
AY,1420,540
AX,1400,520
AX,1400,440
AY,1480,440
BX,1520,560
AX,1420,600
AX,1420,400
AX,1500,460
BY,1420,520
BY,1420,300
AX,1560,420
AX,1580,400
AX,1420,440
AX,1580,400
