-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     8.00     4.00     2.25
  2 (control)    14.25     4.00     1.50
  1 (profile)    19.75     4.00     5.00
  0 (direct)     28.75     4.00     4.50
  2 (control)    37.25     4.00     1.00
  1 (profile)    42.25     4.00     4.50
  1 (profile)    50.75     4.00     2.25
  2 (control)    57.00     4.00     6.50
  0 (direct)     67.50     4.00     4.25
  1 (profile)    75.75     4.00     5.75
  1 (profile)    85.50     4.00     1.25
  2 (control)    90.75     4.00     3.00
  0 (direct)     97.75     4.00     2.50
  0 (direct)    104.25     4.00     1.25
  2 (control)   109.50     4.00     6.00
  0 (direct)    119.50     4.00     5.50
  0 (direct)    129.00     4.00     7.00
  1 (profile)   140.00     4.00     5.75
  1 (profile)   149.75     4.00     5.00
  0 (direct)    158.75     4.00     5.50
  1 (profile)   168.25     4.00     2.75
  0 (direct)    175.00     4.00     3.50
  2 (control)   182.50     4.00     6.75
  2 (control)   193.25     4.00     3.75
  0 (direct)    201.00     4.00     1.75
  1 (profile)   206.75     4.00     6.25
  2 (control)   217.00     4.00     7.00
  2 (control)   228.00     4.00     4.25
  0 (direct)    236.25     4.00     6.50
  2 (control)   246.75     4.00     2.50
  1 (profile)   253.25     4.00     3.00
  0 (direct)    260.25     4.00     2.75
  0 (direct)    267.00     4.00     2.00
  0 (direct)    273.00     4.00     1.00
  1 (profile)   278.00     4.00     3.25
  1 (profile)   285.25     4.00     1.50
  1 (profile)   290.75     4.00     6.75
  2 (control)   301.50     4.00     1.75
  2 (control)   307.25     4.00     4.75
  2 (control)   316.00     4.00     5.25
  1 (profile)   325.25     4.00     3.50
  0 (direct)    332.75     4.00     6.25
  1 (profile)   343.00     4.00     3.75
  0 (direct)    350.75     4.00     5.25
  2 (control)   360.00     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      8.00     4.00     2.25
  2 (control)    14.25     4.00     1.50
  2 (control)    19.75     4.00     6.25
  1 (profile)    30.00     4.00     6.25
  1 (profile)    40.25     4.00     2.00
  2 (control)    46.25     4.00     5.50
  2 (control)    55.75     4.00     1.25
  0 (direct)     61.00     4.00     3.00
  2 (control)    68.00     4.00     1.50
  1 (profile)    73.50     4.00     6.75
  0 (direct)     84.25     4.00     1.00
  0 (direct)     89.25     4.00     2.50
  1 (profile)    95.75     4.00     6.50
  0 (direct)    106.25     4.00     3.75
  2 (control)   114.00     4.00     5.75
  1 (profile)   123.75     4.00     4.50
  1 (profile)   132.25     4.00     1.75
  1 (profile)   138.00     4.00     4.25
  2 (control)   146.25     4.00     5.00
  0 (direct)    155.25     4.00     3.50
  2 (control)   162.75     4.00     5.00
  1 (profile)   171.75     4.00     1.25
  1 (profile)   177.00     4.00     2.50
  1 (profile)   183.50     4.00     4.25
  2 (control)   191.75     4.00     2.75
  0 (direct)    198.50     4.00     3.25
  2 (control)   205.75     4.00     6.75
  1 (profile)   216.50     4.00     3.50
  1 (profile)   224.00     4.00     1.00
  0 (direct)    229.00     4.00     6.00
  0 (direct)    239.00     4.00     5.25
  2 (control)   248.25     4.00     3.75
  1 (profile)   256.00     4.00     5.75
  0 (direct)    265.75     4.00     2.25
  1 (profile)   272.00     4.00     5.50
  2 (control)   281.50     4.00     4.50
  0 (direct)    290.00     4.00     4.75
  1 (profile)   298.75     4.00     7.00
  2 (control)   309.75     4.00     2.75
  0 (direct)    316.50     4.00     1.75
  0 (direct)    322.25     4.00     5.25
  0 (direct)    331.50     4.00     3.00
  2 (control)   338.50     4.00     6.50
  2 (control)   349.00     4.00     7.00
  0 (direct)    360.00     4.00     0.00

