-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     8.00     4.00     3.00
  0 (direct)     15.00     4.00     5.50
  0 (direct)     24.50     4.00     2.25
  2 (control)    30.75     4.00     5.00
  2 (control)    39.75     4.00     2.25
  0 (direct)     46.00     4.00     1.25
  2 (control)    51.25     4.00     3.75
  0 (direct)     59.00     4.00     5.00
  1 (profile)    68.00     4.00     4.25
  2 (control)    76.25     4.00     6.50
  0 (direct)     86.75     4.00     1.00
  0 (direct)     91.75     4.00     5.25
  2 (control)   101.00     4.00     3.50
  1 (profile)   108.50     4.00     6.25
  0 (direct)    118.75     4.00     3.50
  2 (control)   126.25     4.00     3.25
  1 (profile)   133.50     4.00     3.00
  1 (profile)   140.50     4.00     6.75
  1 (profile)   151.25     4.00     7.00
  0 (direct)    162.25     4.00     1.25
  0 (direct)    167.50     4.00     2.75
  0 (direct)    174.25     4.00     6.25
  2 (control)   184.50     4.00     5.75
  2 (control)   194.25     4.00     4.50
  0 (direct)    202.75     4.00     5.75
  1 (profile)   212.50     4.00     2.50
  1 (profile)   219.00     4.00     5.50
  1 (profile)   228.50     4.00     2.75
  0 (direct)    235.25     4.00     7.00
  2 (control)   246.25     4.00     6.50
  1 (profile)   256.75     4.00     1.75
  2 (control)   262.50     4.00     1.75
  2 (control)   268.25     4.00     5.25
  0 (direct)    277.50     4.00     4.25
  2 (control)   285.75     4.00     2.50
  2 (control)   292.25     4.00     1.50
  2 (control)   297.75     4.00     3.75
  1 (profile)   305.50     4.00     4.50
  1 (profile)   314.00     4.00     2.00
  0 (direct)    320.00     4.00     1.50
  0 (direct)    325.50     4.00     1.00
  2 (control)   330.50     4.00     6.75
  1 (profile)   341.25     4.00     4.75
  1 (profile)   350.00     4.00     6.00
  1 (profile)   360.00     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      8.00     4.00     2.25
  1 (profile)    14.25     4.00     6.75
  1 (profile)    25.00     4.00     2.50
  2 (control)    31.50     4.00     6.75
  0 (direct)     42.25     4.00     1.00
  2 (control)    47.25     4.00     5.25
  2 (control)    56.50     4.00     1.00
  1 (profile)    61.50     4.00     3.50
  2 (control)    69.00     4.00     3.75
  1 (profile)    76.75     4.00     6.25
  2 (control)    87.00     4.00     7.00
  0 (direct)     98.00     4.00     3.00
  2 (control)   105.00     4.00     1.25
  1 (profile)   110.25     4.00     5.50
  0 (direct)    119.75     4.00     6.25
  1 (profile)   130.00     4.00     2.50
  1 (profile)   136.50     4.00     5.00
  1 (profile)   145.50     4.00     6.50
  0 (direct)    156.00     4.00     2.75
  2 (control)   162.75     4.00     2.25
  1 (profile)   169.00     4.00     1.25
  0 (direct)    174.25     4.00     2.75
  0 (direct)    181.00     4.00     6.50
  0 (direct)    191.50     4.00     5.50
  2 (control)   201.00     4.00     5.75
  2 (control)   210.75     4.00     3.50
  1 (profile)   218.25     4.00     6.00
  1 (profile)   228.25     4.00     5.25
  0 (direct)    237.50     4.00     5.00
  0 (direct)    246.50     4.00     1.75
  0 (direct)    252.25     4.00     1.50
  2 (control)   257.75     4.00     4.50
  0 (direct)    266.25     4.00     1.50
  1 (profile)   271.75     4.00     3.75
  2 (control)   279.50     4.00     7.00
  0 (direct)    290.50     4.00     2.00
  2 (control)   296.50     4.00     5.75
  1 (profile)   306.25     4.00     4.75
  2 (control)   315.00     4.00     3.00
  2 (control)   322.00     4.00     4.25
  1 (profile)   330.25     4.00     1.75
  2 (control)   336.00     4.00     3.25
  1 (profile)   343.25     4.00     4.50
  0 (direct)    351.75     4.00     4.25
  0 (direct)    360.00     4.00     0.00

