-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     8.00     4.00     1.00
  1 (profile)    13.00     4.00     1.00
  2 (control)    18.00     4.00     1.75
  2 (control)    23.75     4.00     4.75
  2 (control)    32.50     4.00     5.50
  1 (profile)    42.00     4.00     2.50
  0 (direct)     48.50     4.00     1.75
  1 (profile)    54.25     4.00     1.25
  1 (profile)    59.50     4.00     5.00
  0 (direct)     68.50     4.00     7.00
  0 (direct)     79.50     4.00     3.75
  0 (direct)     87.25     4.00     2.75
  1 (profile)    94.00     4.00     5.25
  2 (control)   103.25     4.00     2.00
  2 (control)   109.25     4.00     4.25
  2 (control)   117.50     4.00     6.75
  1 (profile)   128.25     4.00     2.50
  1 (profile)   134.75     4.00     2.25
  0 (direct)    141.00     4.00     4.50
  2 (control)   149.50     4.00     5.00
  0 (direct)    158.50     4.00     6.25
  0 (direct)    168.75     4.00     3.75
  2 (control)   176.50     4.00     6.00
  0 (direct)    186.50     4.00     3.50
  2 (control)   194.00     4.00     6.75
  1 (profile)   204.75     4.00     6.25
  2 (control)   215.00     4.00     5.75
  0 (direct)    224.75     4.00     3.00
  1 (profile)   231.75     4.00     1.50
  0 (direct)    237.25     4.00     3.50
  0 (direct)    244.75     4.00     5.25
  1 (profile)   254.00     4.00     3.25
  0 (direct)    261.25     4.00     2.25
  1 (profile)   267.50     4.00     1.25
  0 (direct)    272.75     4.00     4.25
  0 (direct)    281.00     4.00     4.50
  2 (control)   289.50     4.00     3.00
  2 (control)   296.50     4.00     6.50
  1 (profile)   307.00     4.00     6.50
  1 (profile)   317.50     4.00     1.50
  1 (profile)   323.00     4.00     5.50
  2 (control)   332.50     4.00     5.75
  0 (direct)    342.25     4.00     2.75
  1 (profile)   349.00     4.00     7.00
  2 (control)   360.00     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     8.00     4.00     1.25
  0 (direct)     13.25     4.00     3.50
  2 (control)    20.75     4.00     2.25
  1 (profile)    27.00     4.00     1.75
  1 (profile)    32.75     4.00     7.00
  1 (profile)    43.75     4.00     6.50
  2 (control)    54.25     4.00     1.75
  0 (direct)     60.00     4.00     2.00
  1 (profile)    66.00     4.00     5.50
  0 (direct)     75.50     4.00     5.00
  2 (control)    84.50     4.00     3.75
  1 (profile)    92.25     4.00     3.75
  2 (control)   100.00     4.00     2.25
  0 (direct)    106.25     4.00     6.00
  2 (control)   116.25     4.00     3.50
  2 (control)   123.75     4.00     4.75
  0 (direct)    132.50     4.00     2.75
  0 (direct)    139.25     4.00     6.75
  1 (profile)   150.00     4.00     2.50
  0 (direct)    156.50     4.00     1.50
  2 (control)   162.00     4.00     7.00
  0 (direct)    173.00     4.00     5.25
  2 (control)   182.25     4.00     1.00
  0 (direct)    187.25     4.00     3.00
  2 (control)   194.25     4.00     5.25
  1 (profile)   203.50     4.00     6.25
  1 (profile)   213.75     4.00     5.00
  0 (direct)    222.75     4.00     5.75
  1 (profile)   232.50     4.00     5.75
  0 (direct)    242.25     4.00     1.25
  0 (direct)    247.50     4.00     4.25
  1 (profile)   255.75     4.00     1.50
  2 (control)   261.25     4.00     4.50
  2 (control)   269.75     4.00     3.25
  1 (profile)   277.00     4.00     4.50
  2 (control)   285.50     4.00     6.50
  2 (control)   296.00     4.00     3.00
  1 (profile)   303.00     4.00     6.25
  0 (direct)    313.25     4.00     6.75
  2 (control)   324.00     4.00     4.25
  2 (control)   332.25     4.00     2.50
  1 (profile)   338.75     4.00     5.50
  0 (direct)    348.25     4.00     1.00
  0 (direct)    353.25     4.00     2.75
  1 (profile)   360.00     4.00     0.00

