-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     8.00     4.00     4.25
  0 (direct)     16.25     4.00     3.25
  0 (direct)     23.50     4.00     1.75
  2 (control)    29.25     4.00     3.50
  2 (control)    36.75     4.00     2.50
  0 (direct)     43.25     4.00     3.00
  2 (control)    50.25     4.00     1.75
  0 (direct)     56.00     4.00     2.00
  0 (direct)     62.00     4.00     6.75
  1 (profile)    72.75     4.00     4.50
  0 (direct)     81.25     4.00     3.75
  1 (profile)    89.00     4.00     5.25
  1 (profile)    98.25     4.00     4.75
  2 (control)   107.00     4.00     2.25
  2 (control)   113.25     4.00     6.25
  2 (control)   123.50     4.00     6.00
  0 (direct)    133.50     4.00     6.50
  1 (profile)   144.00     4.00     6.50
  1 (profile)   154.50     4.00     5.00
  0 (direct)    163.50     4.00     1.00
  1 (profile)   168.50     4.00     6.75
  0 (direct)    179.25     4.00     5.50
  1 (profile)   188.75     4.00     5.75
  0 (direct)    198.50     4.00     7.00
  2 (control)   209.50     4.00     2.75
  0 (direct)    216.25     4.00     2.50
  2 (control)   222.75     4.00     3.50
  1 (profile)   230.25     4.00     4.25
  0 (direct)    238.50     4.00     5.25
  1 (profile)   247.75     4.00     6.25
  2 (control)   258.00     4.00     2.75
  1 (profile)   264.75     4.00     2.25
  1 (profile)   271.00     4.00     1.25
  1 (profile)   276.25     4.00     1.25
  0 (direct)    281.50     4.00     4.50
  2 (control)   290.00     4.00     1.00
  1 (profile)   295.00     4.00     3.00
  2 (control)   302.00     4.00     1.50
  0 (direct)    307.50     4.00     5.75
  2 (control)   317.25     4.00     1.50
  0 (direct)    322.75     4.00     3.75
  2 (control)   330.50     4.00     5.00
  2 (control)   339.50     4.00     7.00
  1 (profile)   350.50     4.00     5.50
  2 (control)   360.00     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     8.00     4.00     2.75
  1 (profile)    14.75     4.00     3.25
  0 (direct)     22.00     4.00     2.50
  2 (control)    28.50     4.00     2.75
  2 (control)    35.25     4.00     7.00
  1 (profile)    46.25     4.00     3.00
  2 (control)    53.25     4.00     5.75
  1 (profile)    63.00     4.00     1.00
  1 (profile)    68.00     4.00     2.00
  1 (profile)    74.00     4.00     3.75
  0 (direct)     81.75     4.00     5.50
  1 (profile)    91.25     4.00     5.25
  2 (control)   100.50     4.00     1.00
  2 (control)   105.50     4.00     1.25
  0 (direct)    110.75     4.00     2.50
  0 (direct)    117.25     4.00     6.50
  1 (profile)   127.75     4.00     4.50
  0 (direct)    136.25     4.00     5.50
  2 (control)   145.75     4.00     3.75
  2 (control)   153.50     4.00     3.50
  0 (direct)    161.00     4.00     2.25
  1 (profile)   167.25     4.00     5.00
  2 (control)   176.25     4.00     6.25
  1 (profile)   186.50     4.00     5.25
  0 (direct)    195.75     4.00     1.50
  0 (direct)    201.25     4.00     1.75
  0 (direct)    207.00     4.00     5.75
  2 (control)   216.75     4.00     3.50
  1 (profile)   224.25     4.00     6.75
  0 (direct)    235.00     4.00     6.75
  1 (profile)   245.75     4.00     6.50
  1 (profile)   256.25     4.00     5.00
  1 (profile)   265.25     4.00     4.50
  2 (control)   273.75     4.00     1.25
  2 (control)   279.00     4.00     1.50
  1 (profile)   284.50     4.00     1.75
  2 (control)   290.25     4.00     6.25
  2 (control)   300.50     4.00     4.75
  1 (profile)   309.25     4.00     4.25
  0 (direct)    317.50     4.00     6.00
  0 (direct)    327.50     4.00     7.00
  2 (control)   338.50     4.00     2.25
  0 (direct)    344.75     4.00     4.25
  0 (direct)    353.00     4.00     3.00
  0 (direct)    360.00     4.00     0.00

