-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.00
  1 (disgust)    17.00     6.00     3.50
  0 (anger)      26.50     6.00     5.00
  1 (disgust)    37.50     6.00     3.75
  1 (disgust)    47.25     6.00     5.50
  0 (anger)      58.75     6.00     4.75
  1 (disgust)    69.50     6.00     6.25
  0 (anger)      81.75     6.00     3.00
  1 (disgust)    90.75     6.00     2.25
  1 (disgust)    99.00     6.00     2.75
  1 (disgust)   107.75     6.00     6.50
  0 (anger)     120.25     6.00     3.75
  1 (disgust)   130.00     6.00     8.50
  1 (disgust)   144.50     6.00     4.00
  1 (disgust)   154.50     6.00     2.75
  1 (disgust)   163.25     6.00     5.50
  0 (anger)     174.75     6.00     4.25
  1 (disgust)   185.00     6.00     2.50
  0 (anger)     193.50     6.00     5.25
  0 (anger)     204.75     6.00     2.50
  1 (disgust)   213.25     6.00     3.50
  1 (disgust)   222.75     6.00     3.50
  1 (disgust)   232.25     6.00     5.00
  1 (disgust)   243.25     6.00     2.25
  1 (disgust)   251.50     6.00     3.25
  1 (disgust)   260.75     6.00     2.50
  0 (anger)     269.25     6.00     2.00
  0 (anger)     277.25     6.00     3.25
  1 (disgust)   286.50     6.00     2.75
  1 (disgust)   295.25     6.00     4.50
  1 (disgust)   305.75     6.00     6.00
  0 (anger)     317.75     6.00     2.25
  0 (anger)     326.00     6.00     3.75
  0 (anger)     335.75     6.00     2.25
  0 (anger)     344.00     6.00     9.50
  1 (disgust)   359.50     6.00     2.75
  1 (disgust)   368.25     6.00     3.00
  1 (disgust)   377.25     6.00     8.00
  0 (anger)     391.25     6.00     2.25
  1 (disgust)   399.50     6.00     5.75
  0 (anger)     411.25     6.00     3.25
  0 (anger)     420.50     6.00     4.25
  1 (disgust)   430.75     6.00     2.25
  0 (anger)     439.00     6.00     2.00
  0 (anger)     447.00     6.00     6.75
  0 (anger)     459.75     6.00     7.00
  1 (disgust)   472.75     6.00     3.25
  1 (disgust)   482.00     6.00     2.50
  1 (disgust)   490.50     6.00     3.75
  0 (anger)     500.25     6.00     4.25
  0 (anger)     510.50     6.00     2.00
  0 (anger)     518.50     6.00     4.50
  0 (anger)     529.00     6.00     2.75
  1 (disgust)   537.75     6.00     2.50
  0 (anger)     546.25     6.00     3.00
  1 (disgust)   555.25     6.00     4.00
  1 (disgust)   565.25     6.00     4.75
  0 (anger)     576.00     6.00     2.50
  1 (disgust)   584.50     6.00     7.50
  0 (anger)     598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.50
  1 (disgust)    16.50     6.00     2.25
  0 (anger)      24.75     6.00     4.50
  0 (anger)      35.25     6.00     5.75
  0 (anger)      47.00     6.00     3.75
  1 (disgust)    56.75     6.00     2.25
  0 (anger)      65.00     6.00     7.50
  1 (disgust)    78.50     6.00     5.00
  0 (anger)      89.50     6.00     9.50
  1 (disgust)   105.00     6.00     2.25
  0 (anger)     113.25     6.00     4.00
  0 (anger)     123.25     6.00     2.00
  0 (anger)     131.25     6.00     2.75
  1 (disgust)   140.00     6.00     3.00
  1 (disgust)   149.00     6.00     3.75
  1 (disgust)   158.75     6.00     4.75
  1 (disgust)   169.50     6.00     2.75
  1 (disgust)   178.25     6.00     2.00
  1 (disgust)   186.25     6.00     4.00
  0 (anger)     196.25     6.00     2.75
  0 (anger)     205.00     6.00     2.50
  1 (disgust)   213.50     6.00     6.75
  0 (anger)     226.25     6.00     3.25
  0 (anger)     235.50     6.00     4.25
  1 (disgust)   245.75     6.00     3.00
  1 (disgust)   254.75     6.00     6.50
  1 (disgust)   267.25     6.00     2.50
  0 (anger)     275.75     6.00     4.75
  1 (disgust)   286.50     6.00     3.50
  1 (disgust)   296.00     6.00     5.50
  0 (anger)     307.50     6.00     3.00
  0 (anger)     316.50     6.00     5.25
  0 (anger)     327.75     6.00     6.25
  1 (disgust)   340.00     6.00     5.50
  0 (anger)     351.50     6.00     6.00
  1 (disgust)   363.50     6.00     2.25
  1 (disgust)   371.75     6.00     4.25
  0 (anger)     382.00     6.00     2.50
  1 (disgust)   390.50     6.00     2.50
  1 (disgust)   399.00     6.00     3.00
  0 (anger)     408.00     6.00     3.25
  1 (disgust)   417.25     6.00     2.50
  1 (disgust)   425.75     6.00     7.00
  1 (disgust)   438.75     6.00     8.50
  0 (anger)     453.25     6.00     3.25
  0 (anger)     462.50     6.00     2.25
  0 (anger)     470.75     6.00     2.25
  1 (disgust)   479.00     6.00     3.75
  1 (disgust)   488.75     6.00     3.75
  0 (anger)     498.50     6.00     3.25
  0 (anger)     507.75     6.00     4.25
  1 (disgust)   518.00     6.00     8.00
  0 (anger)     532.00     6.00     2.75
  1 (disgust)   540.75     6.00     3.50
  0 (anger)     550.25     6.00     2.00
  0 (anger)     558.25     6.00     3.50
  1 (disgust)   567.75     6.00     4.50
  0 (anger)     578.25     6.00     2.75
  0 (anger)     587.00     6.00     5.00
  0 (anger)     598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.25
  0 (anger)      16.25     6.00     2.25
  1 (disgust)    24.50     6.00     2.50
  0 (anger)      33.00     6.00     2.50
  1 (disgust)    41.50     6.00     2.75
  1 (disgust)    50.25     6.00     6.25
  0 (anger)      62.50     6.00     8.50
  1 (disgust)    77.00     6.00     5.75
  0 (anger)      88.75     6.00     4.50
  0 (anger)      99.25     6.00     2.75
  1 (disgust)   108.00     6.00     5.00
  1 (disgust)   119.00     6.00     4.75
  1 (disgust)   129.75     6.00     2.00
  1 (disgust)   137.75     6.00     5.50
  1 (disgust)   149.25     6.00     4.75
  1 (disgust)   160.00     6.00     3.00
  1 (disgust)   169.00     6.00     3.50
  0 (anger)     178.50     6.00     3.50
  0 (anger)     188.00     6.00     3.00
  0 (anger)     197.00     6.00     3.25
  0 (anger)     206.25     6.00     4.00
  0 (anger)     216.25     6.00     2.50
  0 (anger)     224.75     6.00     9.50
  0 (anger)     240.25     6.00     2.50
  1 (disgust)   248.75     6.00     2.25
  0 (anger)     257.00     6.00     2.25
  0 (anger)     265.25     6.00     4.25
  0 (anger)     275.50     6.00     2.50
  1 (disgust)   284.00     6.00     4.25
  1 (disgust)   294.25     6.00     2.00
  0 (anger)     302.25     6.00     4.25
  0 (anger)     312.50     6.00     2.25
  1 (disgust)   320.75     6.00     5.00
  0 (anger)     331.75     6.00     2.75
  1 (disgust)   340.50     6.00     7.50
  1 (disgust)   354.00     6.00     2.75
  0 (anger)     362.75     6.00     6.75
  1 (disgust)   375.50     6.00     5.50
  1 (disgust)   387.00     6.00     3.75
  0 (anger)     396.75     6.00     3.50
  0 (anger)     406.25     6.00     4.50
  0 (anger)     416.75     6.00     4.00
  1 (disgust)   426.75     6.00     3.75
  0 (anger)     436.50     6.00     2.00
  0 (anger)     444.50     6.00     2.25
  1 (disgust)   452.75     6.00     2.75
  0 (anger)     461.50     6.00     7.00
  0 (anger)     474.50     6.00     6.50
  1 (disgust)   487.00     6.00     3.25
  0 (anger)     496.25     6.00     3.00
  0 (anger)     505.25     6.00     6.00
  0 (anger)     517.25     6.00     5.25
  0 (anger)     528.50     6.00     3.25
  1 (disgust)   537.75     6.00     3.75
  0 (anger)     547.50     6.00     3.75
  1 (disgust)   557.25     6.00     3.00
  1 (disgust)   566.25     6.00     8.00
  0 (anger)     580.25     6.00     2.50
  1 (disgust)   588.75     6.00     3.25
  0 (anger)     598.00     6.00     0.00

