-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.25
  0 (anger)      16.25     6.00     2.00
  1 (disgust)    24.25     6.00     2.50
  0 (anger)      32.75     6.00     2.25
  1 (disgust)    41.00     6.00     2.50
  1 (disgust)    49.50     6.00     3.00
  0 (anger)      58.50     6.00     8.50
  0 (anger)      73.00     6.00     9.50
  0 (anger)      88.50     6.00     7.00
  0 (anger)     101.50     6.00     3.75
  1 (disgust)   111.25     6.00     3.00
  1 (disgust)   120.25     6.00     5.00
  1 (disgust)   131.25     6.00     3.50
  0 (anger)     140.75     6.00     2.50
  0 (anger)     149.25     6.00     3.50
  1 (disgust)   158.75     6.00     3.00
  1 (disgust)   167.75     6.00     2.25
  0 (anger)     176.00     6.00     2.00
  1 (disgust)   184.00     6.00     4.75
  0 (anger)     194.75     6.00     4.00
  0 (anger)     204.75     6.00     2.75
  1 (disgust)   213.50     6.00     3.00
  1 (disgust)   222.50     6.00     2.50
  0 (anger)     231.00     6.00     4.50
  1 (disgust)   241.50     6.00     6.75
  0 (anger)     254.25     6.00     6.50
  1 (disgust)   266.75     6.00     3.25
  1 (disgust)   276.00     6.00     4.25
  0 (anger)     286.25     6.00     6.25
  1 (disgust)   298.50     6.00     2.00
  1 (disgust)   306.50     6.00     2.25
  0 (anger)     314.75     6.00     3.75
  1 (disgust)   324.50     6.00     5.75
  1 (disgust)   336.25     6.00     2.50
  0 (anger)     344.75     6.00     7.50
  0 (anger)     358.25     6.00     5.50
  0 (anger)     369.75     6.00     6.00
  0 (anger)     381.75     6.00     3.25
  0 (anger)     391.00     6.00     3.75
  0 (anger)     400.75     6.00     4.50
  0 (anger)     411.25     6.00     2.75
  0 (anger)     420.00     6.00     3.50
  1 (disgust)   429.50     6.00     3.25
  0 (anger)     438.75     6.00     8.00
  0 (anger)     452.75     6.00     2.75
  1 (disgust)   461.50     6.00     4.25
  0 (anger)     471.75     6.00     2.25
  1 (disgust)   480.00     6.00     4.75
  0 (anger)     490.75     6.00     5.00
  0 (anger)     501.75     6.00     3.75
  1 (disgust)   511.50     6.00     5.50
  1 (disgust)   523.00     6.00     4.00
  0 (anger)     533.00     6.00     2.50
  1 (disgust)   541.50     6.00     3.25
  0 (anger)     550.75     6.00     5.25
  1 (disgust)   562.00     6.00     2.25
  0 (anger)     570.25     6.00     2.75
  0 (anger)     579.00     6.00     2.75
  0 (anger)     587.75     6.00     4.25
  0 (anger)     598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.00
  0 (anger)      16.00     6.00     6.25
  1 (disgust)    28.25     6.00     6.50
  0 (anger)      40.75     6.00     2.25
  0 (anger)      49.00     6.00     2.25
  1 (disgust)    57.25     6.00     8.00
  0 (anger)      71.25     6.00     2.25
  0 (anger)      79.50     6.00     3.25
  1 (disgust)    88.75     6.00     2.25
  1 (disgust)    97.00     6.00     2.50
  0 (anger)     105.50     6.00     9.50
  1 (disgust)   121.00     6.00     6.00
  1 (disgust)   133.00     6.00     2.75
  1 (disgust)   141.75     6.00     3.25
  1 (disgust)   151.00     6.00     7.00
  0 (anger)     164.00     6.00     3.75
  0 (anger)     173.75     6.00     4.75
  1 (disgust)   184.50     6.00     2.00
  1 (disgust)   192.50     6.00     5.50
  0 (anger)     204.00     6.00     3.00
  1 (disgust)   213.00     6.00     4.00
  0 (anger)     223.00     6.00     5.25
  1 (disgust)   234.25     6.00     3.75
  0 (anger)     244.00     6.00     2.75
  0 (anger)     252.75     6.00     3.50
  1 (disgust)   262.25     6.00     2.75
  0 (anger)     271.00     6.00     4.75
  1 (disgust)   281.75     6.00     4.25
  1 (disgust)   292.00     6.00     3.00
  0 (anger)     301.00     6.00     5.75
  1 (disgust)   312.75     6.00     3.25
  0 (anger)     322.00     6.00     5.00
  1 (disgust)   333.00     6.00     6.75
  1 (disgust)   345.75     6.00     4.25
  0 (anger)     356.00     6.00     4.00
  0 (anger)     366.00     6.00     2.50
  0 (anger)     374.50     6.00     3.75
  1 (disgust)   384.25     6.00     3.25
  0 (anger)     393.50     6.00     4.50
  1 (disgust)   404.00     6.00     2.00
  0 (anger)     412.00     6.00     2.50
  0 (anger)     420.50     6.00     2.50
  1 (disgust)   429.00     6.00     4.25
  1 (disgust)   439.25     6.00     2.50
  1 (disgust)   447.75     6.00     3.50
  1 (disgust)   457.25     6.00     2.75
  0 (anger)     466.00     6.00     2.50
  1 (disgust)   474.50     6.00     5.00
  1 (disgust)   485.50     6.00     8.50
  1 (disgust)   500.00     6.00     2.25
  1 (disgust)   508.25     6.00     7.50
  0 (anger)     521.75     6.00     3.00
  0 (anger)     530.75     6.00     3.75
  1 (disgust)   540.50     6.00     2.25
  0 (anger)     548.75     6.00     5.50
  0 (anger)     560.25     6.00     3.00
  1 (disgust)   569.25     6.00     4.50
  0 (anger)     579.75     6.00     3.50
  1 (disgust)   589.25     6.00     2.75
  1 (disgust)   598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     3.25
  1 (disgust)    17.25     6.00     2.50
  1 (disgust)    25.75     6.00     3.25
  1 (disgust)    35.00     6.00     5.75
  1 (disgust)    46.75     6.00     5.50
  1 (disgust)    58.25     6.00     3.50
  1 (disgust)    67.75     6.00     3.75
  1 (disgust)    77.50     6.00     3.00
  0 (anger)      86.50     6.00     2.75
  1 (disgust)    95.25     6.00     4.50
  0 (anger)     105.75     6.00     2.75
  1 (disgust)   114.50     6.00     3.50
  0 (anger)     124.00     6.00     2.75
  0 (anger)     132.75     6.00     2.50
  0 (anger)     141.25     6.00     2.00
  1 (disgust)   149.25     6.00     5.00
  1 (disgust)   160.25     6.00     8.50
  0 (anger)     174.75     6.00     3.75
  0 (anger)     184.50     6.00     2.50
  1 (disgust)   193.00     6.00     6.75
  1 (disgust)   205.75     6.00     9.50
