-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.00
  1 (disgust)    17.00     6.00     2.25
  0 (anger)      25.25     6.00     3.75
  0 (anger)      35.00     6.00     2.50
  1 (disgust)    43.50     6.00     3.25
  0 (anger)      52.75     6.00     4.25
  0 (anger)      63.00     6.00     2.50
  0 (anger)      71.50     6.00     3.25
  1 (disgust)    80.75     6.00     7.00
  1 (disgust)    93.75     6.00     5.50
  1 (disgust)   105.25     6.00     2.50
  0 (anger)     113.75     6.00     4.00
  1 (disgust)   123.75     6.00     3.75
  0 (anger)     133.50     6.00     2.25
  0 (anger)     141.75     6.00     2.25
  0 (anger)     150.00     6.00     4.75
  1 (disgust)   160.75     6.00     2.25
  1 (disgust)   169.00     6.00     5.50
  0 (anger)     180.50     6.00     3.00
  0 (anger)     189.50     6.00     2.00
  0 (anger)     197.50     6.00     2.50
  1 (disgust)   206.00     6.00     2.75
  0 (anger)     214.75     6.00     3.00
  0 (anger)     223.75     6.00     6.00
  0 (anger)     235.75     6.00     2.75
  1 (disgust)   244.50     6.00     4.00
  1 (disgust)   254.50     6.00     5.00
  0 (anger)     265.50     6.00     2.50
  1 (disgust)   274.00     6.00     6.25
  1 (disgust)   286.25     6.00     2.25
  1 (disgust)   294.50     6.00     2.75
  0 (anger)     303.25     6.00     3.00
  1 (disgust)   312.25     6.00     4.25
  0 (anger)     322.50     6.00     3.50
  1 (disgust)   332.00     6.00     3.50
  1 (disgust)   341.50     6.00     4.50
  1 (disgust)   352.00     6.00     5.75
  1 (disgust)   363.75     6.00     3.25
  1 (disgust)   373.00     6.00     7.50
  0 (anger)     386.50     6.00     3.75
  1 (disgust)   396.25     6.00     2.00
  1 (disgust)   404.25     6.00     8.50
  0 (anger)     418.75     6.00     2.75
  0 (anger)     427.50     6.00     2.50
  0 (anger)     436.00     6.00     4.25
  1 (disgust)   446.25     6.00     3.25
  1 (disgust)   455.50     6.00     9.50
  1 (disgust)   471.00     6.00     3.75
  1 (disgust)   480.75     6.00     5.25
  0 (anger)     492.00     6.00     2.00
  0 (anger)     500.00     6.00     6.75
  1 (disgust)   512.75     6.00     3.50
  0 (anger)     522.25     6.00     5.00
  0 (anger)     533.25     6.00     4.75
  0 (anger)     544.00     6.00     4.50
  1 (disgust)   554.50     6.00     6.50
  0 (anger)     567.00     6.00     2.25
  0 (anger)     575.25     6.00     2.75
  0 (anger)     584.00     6.00     8.00
  1 (disgust)   598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.25
  0 (anger)      16.25     6.00     2.25
  1 (disgust)    24.50     6.00     5.75
  0 (anger)      36.25     6.00     2.50
  0 (anger)      44.75     6.00     3.50
  1 (disgust)    54.25     6.00     3.25
  0 (anger)      63.50     6.00     5.50
  1 (disgust)    75.00     6.00     2.50
  1 (disgust)    83.50     6.00     3.50
  0 (anger)      93.00     6.00     6.25
  0 (anger)     105.25     6.00     2.50
  0 (anger)     113.75     6.00     4.00
  1 (disgust)   123.75     6.00     3.25
  0 (anger)     133.00     6.00     4.00
  1 (disgust)   143.00     6.00     5.00
  0 (anger)     154.00     6.00     2.00
  0 (anger)     162.00     6.00     4.50
  0 (anger)     172.50     6.00     2.00
  1 (disgust)   180.50     6.00     2.75
  1 (disgust)   189.25     6.00     2.25
  0 (anger)     197.50     6.00     3.75
  1 (disgust)   207.25     6.00     4.25
  0 (anger)     217.50     6.00     4.50
  0 (anger)     228.00     6.00     2.75
  0 (anger)     236.75     6.00     8.00
  1 (disgust)   250.75     6.00     6.00
  1 (disgust)   262.75     6.00     4.25
  0 (anger)     273.00     6.00     3.00
  0 (anger)     282.00     6.00     8.50
  1 (disgust)   296.50     6.00     2.75
  0 (anger)     305.25     6.00     2.00
  0 (anger)     313.25     6.00     4.75
  1 (disgust)   324.00     6.00     3.00
  0 (anger)     333.00     6.00     5.50
  1 (disgust)   344.50     6.00     3.75
  0 (anger)     354.25     6.00     3.25
  0 (anger)     363.50     6.00     2.25
  1 (disgust)   371.75     6.00     7.00
  0 (anger)     384.75     6.00     3.50
  0 (anger)     394.25     6.00     6.50
  1 (disgust)   406.75     6.00     3.25
  0 (anger)     416.00     6.00     2.75
  0 (anger)     424.75     6.00     2.50
  1 (disgust)   433.25     6.00     3.75
  0 (anger)     443.00     6.00     3.00
  0 (anger)     452.00     6.00     5.00
  1 (disgust)   463.00     6.00     6.75
  1 (disgust)   475.75     6.00     5.25
  1 (disgust)   487.00     6.00     3.00
  1 (disgust)   496.00     6.00     7.50
  0 (anger)     509.50     6.00     2.50
  1 (disgust)   518.00     6.00     2.25
  0 (anger)     526.25     6.00     4.75
  0 (anger)     537.00     6.00     2.50
  1 (disgust)   545.50     6.00     2.75
  1 (disgust)   554.25     6.00     3.75
  0 (anger)     564.00     6.00     4.25
  0 (anger)     574.25     6.00     9.50
  1 (disgust)   589.75     6.00     2.25
  0 (anger)     598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     3.25
  1 (disgust)    17.25     6.00     2.75
  1 (disgust)    26.00     6.00     3.25
  0 (anger)      35.25     6.00     5.00
  0 (anger)      46.25     6.00     2.50
  0 (anger)      54.75     6.00     3.75
  1 (disgust)    64.50     6.00     4.00
  1 (disgust)    74.50     6.00     4.75
  0 (anger)      85.25     6.00     3.75
  1 (disgust)    95.00     6.00     2.50
  0 (anger)     103.50     6.00     2.75
  0 (anger)     112.25     6.00     9.50
  1 (disgust)   127.75     6.00     3.50
  0 (anger)     137.25     6.00     4.25
  1 (disgust)   147.50     6.00     7.50
  1 (disgust)   161.00     6.00     3.50
  1 (disgust)   170.50     6.00     2.25
  1 (disgust)   178.75     6.00     7.00
  1 (disgust)   191.75     6.00     4.25
  1 (disgust)   202.00     6.00     3.00
  1 (disgust)   211.00     6.00     6.00
  1 (disgust)   223.00     6.00     4.50
  0 (anger)     233.50     6.00     2.75
  0 (anger)     242.25     6.00     2.25
  1 (disgust)   250.50     6.00     5.50
  1 (disgust)   262.00     6.00     2.25
  0 (anger)     270.25     6.00     3.00
  0 (anger)     279.25     6.00     4.00
  1 (disgust)   289.25     6.00     5.25
  0 (anger)     300.50     6.00     2.25
  0 (anger)     308.75     6.00     5.00
  1 (disgust)   319.75     6.00     3.75
  0 (anger)     329.50     6.00     6.25
  0 (anger)     341.75     6.00     5.50
  1 (disgust)   353.25     6.00     2.50
  1 (disgust)   361.75     6.00     2.50
  0 (anger)     370.25     6.00     2.50
  0 (anger)     378.75     6.00     2.25
  1 (disgust)   387.00     6.00     3.25
  1 (disgust)   396.25     6.00     2.00
  1 (disgust)   404.25     6.00     5.75
  0 (anger)     416.00     6.00     8.50
  0 (anger)     430.50     6.00     2.00
  0 (anger)     438.50     6.00     8.00
  1 (disgust)   452.50     6.00     3.00
  0 (anger)     461.50     6.00     6.75
  0 (anger)     474.25     6.00     4.25
  1 (disgust)   484.50     6.00     4.50
  1 (disgust)   495.00     6.00     6.50
  1 (disgust)   507.50     6.00     2.00
  1 (disgust)   515.50     6.00     3.25
  0 (anger)     524.75     6.00     3.00
  1 (disgust)   533.75     6.00     2.75
  0 (anger)     542.50     6.00     3.50
  1 (disgust)   552.00     6.00     3.75
  1 (disgust)   561.75     6.00     2.75
  1 (disgust)   570.50     6.00     2.25
  1 (disgust)   578.75     6.00     4.75
  0 (anger)     589.50     6.00     2.50
  1 (disgust)   598.00     6.00     0.00

