-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.50
  0 (anger)      16.50     6.00     2.25
  1 (disgust)    24.75     6.00     3.25
  1 (disgust)    34.00     6.00     2.25
  1 (disgust)    42.25     6.00     2.25
  0 (anger)      50.50     6.00     2.75
  1 (disgust)    59.25     6.00     2.25
  1 (disgust)    67.50     6.00     2.00
  0 (anger)      75.50     6.00     3.50
  1 (disgust)    85.00     6.00     2.50
  0 (anger)      93.50     6.00     3.75
  1 (disgust)   103.25     6.00     6.75
  0 (anger)     116.00     6.00     4.75
  1 (disgust)   126.75     6.00     3.00
  1 (disgust)   135.75     6.00     5.75
  0 (anger)     147.50     6.00     8.50
  0 (anger)     162.00     6.00     5.00
  1 (disgust)   173.00     6.00     3.75
  0 (anger)     182.75     6.00     2.00
  1 (disgust)   190.75     6.00     2.50
  1 (disgust)   199.25     6.00     4.75
  1 (disgust)   210.00     6.00     3.50
  1 (disgust)   219.50     6.00     3.75
  0 (anger)     229.25     6.00     4.50
  1 (disgust)   239.75     6.00     2.50
  1 (disgust)   248.25     6.00     2.75
  1 (disgust)   257.00     6.00     2.00
  1 (disgust)   265.00     6.00     2.50
  1 (disgust)   273.50     6.00     2.75
  0 (anger)     282.25     6.00     7.00
  0 (anger)     295.25     6.00     5.00
  0 (anger)     306.25     6.00     4.00
  1 (disgust)   316.25     6.00     2.75
  1 (disgust)   325.00     6.00     3.75
  0 (anger)     334.75     6.00     4.25
  1 (disgust)   345.00     6.00     3.00
  1 (disgust)   354.00     6.00     3.25
  0 (anger)     363.25     6.00     5.25
  0 (anger)     374.50     6.00     4.50
  1 (disgust)   385.00     6.00     5.50
  0 (anger)     396.50     6.00     4.00
  1 (disgust)   406.50     6.00     3.00
  1 (disgust)   415.50     6.00     8.00
  0 (anger)     429.50     6.00     3.50
  0 (anger)     439.00     6.00     3.25
  0 (anger)     448.25     6.00     2.25
  0 (anger)     456.50     6.00     9.50
  0 (anger)     472.00     6.00     6.50
  0 (anger)     484.50     6.00     5.50
  0 (anger)     496.00     6.00     2.75
  1 (disgust)   504.75     6.00     3.00
  0 (anger)     513.75     6.00     4.25
  1 (disgust)   524.00     6.00     3.25
  0 (anger)     533.25     6.00     6.00
  0 (anger)     545.25     6.00     2.25
  0 (anger)     553.50     6.00     2.50
  1 (disgust)   562.00     6.00     6.25
  1 (disgust)   574.25     6.00     7.50
  0 (anger)     587.75     6.00     4.25
  1 (disgust)   598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.25
  1 (disgust)    16.25     6.00     2.00
  0 (anger)      24.25     6.00     2.50
  0 (anger)      32.75     6.00     3.25
  1 (disgust)    42.00     6.00     2.25
  0 (anger)      50.25     6.00     7.00
  1 (disgust)    63.25     6.00     4.00
  1 (disgust)    73.25     6.00     2.75
  1 (disgust)    82.00     6.00     5.75
  1 (disgust)    93.75     6.00     2.75
  0 (anger)     102.50     6.00     4.25
  0 (anger)     112.75     6.00     3.00
  1 (disgust)   121.75     6.00     3.75
  0 (anger)     131.50     6.00     5.50
  1 (disgust)   143.00     6.00     3.75
  1 (disgust)   152.75     6.00     2.00
  1 (disgust)   160.75     6.00     3.25
  0 (anger)     170.00     6.00     8.00
  1 (disgust)   184.00     6.00     2.50
  0 (anger)     192.50     6.00     3.00
  0 (anger)     201.50     6.00     2.75
  1 (disgust)   210.25     6.00     9.50
  0 (anger)     225.75     6.00     2.25
  0 (anger)     234.00     6.00     3.00
  1 (disgust)   243.00     6.00     6.75
  0 (anger)     255.75     6.00     4.75
  0 (anger)     266.50     6.00     3.25
  1 (disgust)   275.75     6.00     4.25
  1 (disgust)   286.00     6.00     2.50
  1 (disgust)   294.50     6.00     2.75
  1 (disgust)   303.25     6.00     5.00
  1 (disgust)   314.25     6.00     6.00
  0 (anger)     326.25     6.00     3.50
  1 (disgust)   335.75     6.00     2.25
  1 (disgust)   344.00     6.00     3.50
  0 (anger)     353.50     6.00     3.50
  0 (anger)     363.00     6.00     2.75
  0 (anger)     371.75     6.00     4.50
  0 (anger)     382.25     6.00     3.00
  1 (disgust)   391.25     6.00     3.25
  0 (anger)     400.50     6.00     5.00
  0 (anger)     411.50     6.00     3.75
  0 (anger)     421.25     6.00     5.50
  0 (anger)     432.75     6.00     4.75
  0 (anger)     443.50     6.00     4.00
  0 (anger)     453.50     6.00     7.50
  0 (anger)     467.00     6.00     4.50
  0 (anger)     477.50     6.00     2.50
  1 (disgust)   486.00     6.00     5.25
  1 (disgust)   497.25     6.00     2.50
  1 (disgust)   505.75     6.00     8.50
  0 (anger)     520.25     6.00     2.25
  0 (anger)     528.50     6.00     6.50
  0 (anger)     541.00     6.00     2.25
  0 (anger)     549.25     6.00     6.25
  1 (disgust)   561.50     6.00     4.25
  1 (disgust)   571.75     6.00     3.75
  1 (disgust)   581.50     6.00     2.00
  1 (disgust)   589.50     6.00     2.50
  0 (anger)     598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.50
  0 (anger)      16.50     6.00     3.50
  0 (anger)      26.00     6.00     3.75
  1 (disgust)    35.75     6.00     3.50
  1 (disgust)    45.25     6.00     6.50
  0 (anger)      57.75     6.00     9.50
  1 (disgust)    73.25     6.00     3.00
  0 (anger)      82.25     6.00     3.00
  0 (anger)      91.25     6.00     4.25
  1 (disgust)   101.50     6.00     2.25
  1 (disgust)   109.75     6.00     3.25
  0 (anger)     119.00     6.00     5.50
  1 (disgust)   130.50     6.00     2.50
  0 (anger)     139.00     6.00     4.25
  1 (disgust)   149.25     6.00     2.50
  0 (anger)     157.75     6.00     2.75
  0 (anger)     166.50     6.00     3.25
  0 (anger)     175.75     6.00     2.50
  1 (disgust)   184.25     6.00     6.00
  1 (disgust)   196.25     6.00     2.25
  1 (disgust)   204.50     6.00     5.50
  0 (anger)     216.00     6.00     2.00
  1 (disgust)   224.00     6.00     6.75
  0 (anger)     236.75     6.00     2.75
  1 (disgust)   245.50     6.00     3.75
  1 (disgust)   255.25     6.00     3.25
  0 (anger)     264.50     6.00     2.00
  1 (disgust)   272.50     6.00     4.50
  1 (disgust)   283.00     6.00     4.00
  0 (anger)     293.00     6.00     2.75
  1 (disgust)   301.75     6.00     3.00
  0 (anger)     310.75     6.00     2.25
  1 (disgust)   319.00     6.00     6.25
  1 (disgust)   331.25     6.00     2.25
  1 (disgust)   339.50     6.00     3.75
  0 (anger)     349.25     6.00     2.50
  0 (anger)     357.75     6.00     4.75
  0 (anger)     368.50     6.00     8.00
  0 (anger)     382.50     6.00     5.25
  1 (disgust)   393.75     6.00     4.50
  1 (disgust)   404.25     6.00     5.00
  1 (disgust)   415.25     6.00     2.25
  0 (anger)     423.50     6.00     8.50
  1 (disgust)   438.00     6.00     4.00
  0 (anger)     448.00     6.00     3.00
  0 (anger)     457.00     6.00     2.50
  0 (anger)     465.50     6.00     3.50
  0 (anger)     475.00     6.00     5.75
  0 (anger)     486.75     6.00     2.75
  0 (anger)     495.50     6.00     4.75
  1 (disgust)   506.25     6.00     5.00
  0 (anger)     517.25     6.00     2.00
  0 (anger)     525.25     6.00     7.50
  1 (disgust)   538.75     6.00     2.75
  0 (anger)     547.50     6.00     7.00
  1 (disgust)   560.50     6.00     3.25
  0 (anger)     569.75     6.00     4.25
  1 (disgust)   580.00     6.00     3.75
  1 (disgust)   589.75     6.00     2.25
  1 (disgust)   598.00     6.00     0.00

