-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.00
  1 (disgust)    17.00     6.00     5.00
  0 (anger)      28.00     6.00     4.25
  1 (disgust)    38.25     6.00     4.75
  1 (disgust)    49.00     6.00     2.25
  1 (disgust)    57.25     6.00     6.00
  0 (anger)      69.25     6.00     4.25
  0 (anger)      79.50     6.00     2.25
  0 (anger)      87.75     6.00     2.50
  0 (anger)      96.25     6.00     4.25
  1 (disgust)   106.50     6.00     2.25
  1 (disgust)   114.75     6.00     3.75
  0 (anger)     124.50     6.00     4.50
  1 (disgust)   135.00     6.00     9.50
  0 (anger)     150.50     6.00     3.00
  1 (disgust)   159.50     6.00     2.75
  0 (anger)     168.25     6.00     6.50
  1 (disgust)   180.75     6.00     3.25
  1 (disgust)   190.00     6.00     4.50
  1 (disgust)   200.50     6.00     4.00
  0 (anger)     210.50     6.00     2.75
  1 (disgust)   219.25     6.00     2.50
  0 (anger)     227.75     6.00     2.50
  0 (anger)     236.25     6.00     2.25
  0 (anger)     244.50     6.00     2.00
  0 (anger)     252.50     6.00     6.75
  1 (disgust)   265.25     6.00     4.75
  1 (disgust)   276.00     6.00     2.00
  0 (anger)     284.00     6.00     6.25
  1 (disgust)   296.25     6.00     2.75
  1 (disgust)   305.00     6.00     2.00
  1 (disgust)   313.00     6.00     2.50
  0 (anger)     321.50     6.00     3.75
  0 (anger)     331.25     6.00     3.00
  0 (anger)     340.25     6.00     2.25
  0 (anger)     348.50     6.00     7.50
  0 (anger)     362.00     6.00     3.25
  1 (disgust)   371.25     6.00     8.50
  1 (disgust)   385.75     6.00     5.25
  0 (anger)     397.00     6.00     4.00
  1 (disgust)   407.00     6.00     8.00
  0 (anger)     421.00     6.00     2.50
  1 (disgust)   429.50     6.00     5.50
  1 (disgust)   441.00     6.00     3.50
  0 (anger)     450.50     6.00     3.25
  1 (disgust)   459.75     6.00     2.75
  0 (anger)     468.50     6.00     3.50
  1 (disgust)   478.00     6.00     5.75
  0 (anger)     489.75     6.00     7.00
  0 (anger)     502.75     6.00     3.00
  0 (anger)     511.75     6.00     3.50
  0 (anger)     521.25     6.00     2.75
  0 (anger)     530.00     6.00     2.50
  0 (anger)     538.50     6.00     3.25
  1 (disgust)   547.75     6.00     5.00
  1 (disgust)   558.75     6.00     5.50
  1 (disgust)   570.25     6.00     3.75
  0 (anger)     580.00     6.00     3.75
  0 (anger)     589.75     6.00     2.25
  0 (anger)     598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.50
  1 (disgust)    16.50     6.00     4.25
  0 (anger)      26.75     6.00     5.00
  1 (disgust)    37.75     6.00     2.25
  1 (disgust)    46.00     6.00     3.00
  1 (disgust)    55.00     6.00     8.50
  0 (anger)      69.50     6.00     4.00
  1 (disgust)    79.50     6.00     7.50
  1 (disgust)    93.00     6.00     5.50
  1 (disgust)   104.50     6.00     2.25
  0 (anger)     112.75     6.00     3.50
  1 (disgust)   122.25     6.00     2.00
  1 (disgust)   130.25     6.00     2.50
  0 (anger)     138.75     6.00     3.50
  0 (anger)     148.25     6.00     3.75
  0 (anger)     158.00     6.00     3.50
  1 (disgust)   167.50     6.00     9.50
  1 (disgust)   183.00     6.00     5.00
  0 (anger)     194.00     6.00     8.00
  0 (anger)     208.00     6.00     3.75
  1 (disgust)   217.75     6.00     2.50
  0 (anger)     226.25     6.00     6.00
  1 (disgust)   238.25     6.00     2.25
  1 (disgust)   246.50     6.00     3.00
  0 (anger)     255.50     6.00     4.25
  1 (disgust)   265.75     6.00     2.50
  1 (disgust)   274.25     6.00     7.00
  1 (disgust)   287.25     6.00     3.25
  1 (disgust)   296.50     6.00     3.25
  0 (anger)     305.75     6.00     2.00
  1 (disgust)   313.75     6.00     2.75
  1 (disgust)   322.50     6.00     6.50
  0 (anger)     335.00     6.00     3.00
  1 (disgust)   344.00     6.00     2.25
  0 (anger)     352.25     6.00     5.75
  0 (anger)     364.00     6.00     3.00
  0 (anger)     373.00     6.00     2.75
  0 (anger)     381.75     6.00     2.75
  1 (disgust)   390.50     6.00     2.25
  0 (anger)     398.75     6.00     4.75
  0 (anger)     409.50     6.00     2.25
  1 (disgust)   417.75     6.00     4.00
  0 (anger)     427.75     6.00     2.50
  0 (anger)     436.25     6.00     4.75
  1 (disgust)   447.00     6.00     3.75
  0 (anger)     456.75     6.00     4.50
  1 (disgust)   467.25     6.00     3.25
  0 (anger)     476.50     6.00     6.25
  0 (anger)     488.75     6.00     6.75
  1 (disgust)   501.50     6.00     3.25
  1 (disgust)   510.75     6.00     4.25
  0 (anger)     521.00     6.00     2.75
  1 (disgust)   529.75     6.00     5.50
  0 (anger)     541.25     6.00     3.75
  1 (disgust)   551.00     6.00     5.25
  0 (anger)     562.25     6.00     2.00
  0 (anger)     570.25     6.00     2.50
  1 (disgust)   578.75     6.00     4.50
  0 (anger)     589.25     6.00     2.75
  0 (anger)     598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.50
  0 (anger)      16.50     6.00     2.25
  1 (disgust)    24.75     6.00     2.50
  1 (disgust)    33.25     6.00     4.25
  0 (anger)      43.50     6.00     5.50
  0 (anger)      55.00     6.00     2.75
  1 (disgust)    63.75     6.00     3.50
  0 (anger)      73.25     6.00     2.25
  1 (disgust)    81.50     6.00     3.75
  0 (anger)      91.25     6.00     4.00
  0 (anger)     101.25     6.00     2.75
  0 (anger)     110.00     6.00     4.50
  1 (disgust)   120.50     6.00     2.00
  1 (disgust)   128.50     6.00     3.75
  0 (anger)     138.25     6.00     2.75
  0 (anger)     147.00     6.00     8.00
  1 (disgust)   161.00     6.00     2.50
  1 (disgust)   169.50     6.00     8.50
  1 (disgust)   184.00     6.00     5.00
  0 (anger)     195.00     6.00     5.50
  0 (anger)     206.50     6.00     4.75
  0 (anger)     217.25     6.00     7.00
  0 (anger)     230.25     6.00     6.75
  1 (disgust)   243.00     6.00     2.25
  1 (disgust)   251.25     6.00     2.50
  0 (anger)     259.75     6.00     2.25
  1 (disgust)   268.00     6.00     3.25
  1 (disgust)   277.25     6.00     3.00
  0 (anger)     286.25     6.00     2.00
  1 (disgust)   294.25     6.00     3.50
  0 (anger)     303.75     6.00     5.25
  1 (disgust)   315.00     6.00     9.50
  1 (disgust)   330.50     6.00     6.00
  0 (anger)     342.50     6.00     4.25
  0 (anger)     352.75     6.00     6.25
  1 (disgust)   365.00     6.00     3.25
  1 (disgust)   374.25     6.00     2.50
  1 (disgust)   382.75     6.00     5.00
  0 (anger)     393.75     6.00     3.75
  0 (anger)     403.50     6.00     7.50
  1 (disgust)   417.00     6.00     2.75
  1 (disgust)   425.75     6.00     3.00
  1 (disgust)   434.75     6.00     3.50
  0 (anger)     444.25     6.00     5.75
  1 (disgust)   456.00     6.00     4.50
  1 (disgust)   466.50     6.00     3.75
  0 (anger)     476.25     6.00     2.75
  0 (anger)     485.00     6.00     2.25
  0 (anger)     493.25     6.00     2.25
  1 (disgust)   501.50     6.00     3.25
  1 (disgust)   510.75     6.00     6.50
  1 (disgust)   523.25     6.00     3.00
  0 (anger)     532.25     6.00     2.50
  1 (disgust)   540.75     6.00     4.25
  1 (disgust)   551.00     6.00     3.00
  1 (disgust)   560.00     6.00     3.25
  0 (anger)     569.25     6.00     4.75
  1 (disgust)   580.00     6.00     4.00
  0 (anger)     590.00     6.00     2.00
  1 (disgust)   598.00     6.00     0.00

