-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.50
  1 (disgust)    16.50     6.00     3.25
  0 (anger)      25.75     6.00     6.50
  1 (disgust)    38.25     6.00     4.00
  0 (anger)      48.25     6.00     2.75
  1 (disgust)    57.00     6.00     4.50
  0 (anger)      67.50     6.00     2.75
  1 (disgust)    76.25     6.00     4.50
  0 (anger)      86.75     6.00     8.00
  1 (disgust)   100.75     6.00     4.75
  0 (anger)     111.50     6.00     2.25
  0 (anger)     119.75     6.00     2.25
  0 (anger)     128.00     6.00     2.50
  1 (disgust)   136.50     6.00     3.75
  1 (disgust)   146.25     6.00     4.75
  1 (disgust)   157.00     6.00     4.25
  1 (disgust)   167.25     6.00     3.00
  1 (disgust)   176.25     6.00     7.00
  0 (anger)     189.25     6.00     7.50
  1 (disgust)   202.75     6.00     3.50
  0 (anger)     212.25     6.00     2.25
  0 (anger)     220.50     6.00     5.75
  1 (disgust)   232.25     6.00     2.50
  0 (anger)     240.75     6.00     2.75
  0 (anger)     249.50     6.00     9.50
  0 (anger)     265.00     6.00     3.75
  0 (anger)     274.75     6.00     3.75
  0 (anger)     284.50     6.00     3.00
  0 (anger)     293.50     6.00     5.50
  0 (anger)     305.00     6.00     2.25
  1 (disgust)   313.25     6.00     2.50
  0 (anger)     321.75     6.00     2.00
  0 (anger)     329.75     6.00     3.00
  1 (disgust)   338.75     6.00     2.25
  1 (disgust)   347.00     6.00     2.50
  1 (disgust)   355.50     6.00     3.00
  0 (anger)     364.50     6.00     3.25
  0 (anger)     373.75     6.00     5.00
  1 (disgust)   384.75     6.00     3.25
  0 (anger)     394.00     6.00     2.25
  1 (disgust)   402.25     6.00     4.25
  0 (anger)     412.50     6.00     4.00
  0 (anger)     422.50     6.00     6.25
  0 (anger)     434.75     6.00     3.25
  0 (anger)     444.00     6.00     8.50
  0 (anger)     458.50     6.00     5.00
  1 (disgust)   469.50     6.00     6.75
  1 (disgust)   482.25     6.00     2.50
  0 (anger)     490.75     6.00     3.50
  1 (disgust)   500.25     6.00     4.25
  1 (disgust)   510.50     6.00     2.75
  0 (anger)     519.25     6.00     2.00
  0 (anger)     527.25     6.00     6.00
  1 (disgust)   539.25     6.00     3.50
  1 (disgust)   548.75     6.00     3.75
  1 (disgust)   558.50     6.00     5.50
  1 (disgust)   570.00     6.00     2.00
  0 (anger)     578.00     6.00     5.25
  0 (anger)     589.25     6.00     2.75
  0 (anger)     598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.25
  1 (disgust)    16.25     6.00     2.75
  0 (anger)      25.00     6.00     2.50
  0 (anger)      33.50     6.00     2.50
  0 (anger)      42.00     6.00     4.50
  0 (anger)      52.50     6.00     8.00
  0 (anger)      66.50     6.00     5.00
  1 (disgust)    77.50     6.00     2.75
  0 (anger)      86.25     6.00     3.00
  1 (disgust)    95.25     6.00     2.00
  1 (disgust)   103.25     6.00     2.00
  0 (anger)     111.25     6.00     4.00
  1 (disgust)   121.25     6.00     4.75
  0 (anger)     132.00     6.00     5.75
  0 (anger)     143.75     6.00     6.00
  0 (anger)     155.75     6.00     3.75
  1 (disgust)   165.50     6.00     2.75
  1 (disgust)   174.25     6.00     2.25
  1 (disgust)   182.50     6.00     4.50
  1 (disgust)   193.00     6.00     6.25
  1 (disgust)   205.25     6.00     2.25
  1 (disgust)   213.50     6.00     4.75
  1 (disgust)   224.25     6.00     2.25
  1 (disgust)   232.50     6.00     5.00
  0 (anger)     243.50     6.00     5.25
  1 (disgust)   254.75     6.00     2.25
  1 (disgust)   263.00     6.00     3.50
  0 (anger)     272.50     6.00     3.50
  0 (anger)     282.00     6.00     3.75
  0 (anger)     291.75     6.00     2.75
  1 (disgust)   300.50     6.00     4.25
  0 (anger)     310.75     6.00     8.50
  0 (anger)     325.25     6.00     7.50
  0 (anger)     338.75     6.00     3.25
  0 (anger)     348.00     6.00     3.25
  1 (disgust)   357.25     6.00     3.00
  1 (disgust)   366.25     6.00     3.00
  1 (disgust)   375.25     6.00     5.50
  1 (disgust)   386.75     6.00     2.50
  1 (disgust)   395.25     6.00     2.50
  1 (disgust)   403.75     6.00     4.00
  0 (anger)     413.75     6.00     4.25
  1 (disgust)   424.00     6.00     4.25
  0 (anger)     434.25     6.00     5.50
  0 (anger)     445.75     6.00     7.00
  1 (disgust)   458.75     6.00     6.75
  1 (disgust)   471.50     6.00     3.25
  0 (anger)     480.75     6.00     6.50
  0 (anger)     493.25     6.00     2.25
  0 (anger)     501.50     6.00     2.50
  1 (disgust)   510.00     6.00     3.75
  0 (anger)     519.75     6.00     2.75
  1 (disgust)   528.50     6.00     2.50
  1 (disgust)   537.00     6.00     3.00
  0 (anger)     546.00     6.00     9.50
  0 (anger)     561.50     6.00     3.50
  0 (anger)     571.00     6.00     3.75
  0 (anger)     580.75     6.00     3.25
  1 (disgust)   590.00     6.00     2.00
  1 (disgust)   598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.00
  1 (disgust)    17.00     6.00     2.50
  1 (disgust)    25.50     6.00     2.75
  0 (anger)      34.25     6.00     3.25
  1 (disgust)    43.50     6.00     6.50
  1 (disgust)    56.00     6.00     3.25
  0 (anger)      65.25     6.00     4.50
  0 (anger)      75.75     6.00     2.25
  0 (anger)      84.00     6.00     2.25
  1 (disgust)    92.25     6.00     2.50
  1 (disgust)   100.75     6.00     2.50
  0 (anger)     109.25     6.00     6.00
  0 (anger)     121.25     6.00     2.50
  1 (disgust)   129.75     6.00     2.00
  1 (disgust)   137.75     6.00     2.75
  1 (disgust)   146.50     6.00     3.25
  0 (anger)     155.75     6.00     5.25
  1 (disgust)   167.00     6.00     5.00
  1 (disgust)   178.00     6.00     8.00
  1 (disgust)   192.00     6.00     7.00
  1 (disgust)   205.00     6.00     5.50
  0 (anger)     216.50     6.00     2.75
  1 (disgust)   225.25     6.00     2.25
  1 (disgust)   233.50     6.00     2.50
  0 (anger)     242.00     6.00     5.00
  1 (disgust)   253.00     6.00     7.50
  0 (anger)     266.50     6.00     2.50
  1 (disgust)   275.00     6.00     4.25
  1 (disgust)   285.25     6.00     2.75
  1 (disgust)   294.00     6.00     4.00
  0 (anger)     304.00     6.00     2.00
  0 (anger)     312.00     6.00     2.00
  0 (anger)     320.00     6.00     2.25
  1 (disgust)   328.25     6.00     4.75
  0 (anger)     339.00     6.00     9.50
  0 (anger)     354.50     6.00     2.75
  0 (anger)     363.25     6.00     4.75
  1 (disgust)   374.00     6.00     3.50
  0 (anger)     383.50     6.00     3.75
  1 (disgust)   393.25     6.00     6.75
  1 (disgust)   406.00     6.00     3.00
  1 (disgust)   415.00     6.00     4.25
  1 (disgust)   425.25     6.00     6.25
  1 (disgust)   437.50     6.00     8.50
  0 (anger)     452.00     6.00     3.00
  1 (disgust)   461.00     6.00     3.25
  0 (anger)     470.25     6.00     4.25
  0 (anger)     480.50     6.00     3.75
  0 (anger)     490.25     6.00     3.75
  0 (anger)     500.00     6.00     4.00
  1 (disgust)   510.00     6.00     5.50
  0 (anger)     521.50     6.00     3.50
  1 (disgust)   531.00     6.00     2.25
  0 (anger)     539.25     6.00     3.00
  1 (disgust)   548.25     6.00     3.50
  1 (disgust)   557.75     6.00     3.75
  1 (disgust)   567.50     6.00     2.25
  0 (anger)     575.75     6.00     5.75
  0 (anger)     587.50     6.00     4.50
  0 (anger)     598.00     6.00     0.00

