SubjectID,expName,Session,Section,Section Start Time,Section End Time,Section Time,Response Time,User Answer,User Answer Correctness,Image Group,Image Count,Image Displayed #1,Image Displayed #2,Image Displayed #3,Image Displayed #4,Image Displayed #5,Image Displayed #6
1,MemoryParadigm,2,Study Instruction (Screen 1),08-04-2021 14:30:10,08-04-2021 14:30:11,1.103475570678711,1.096531629562378,Continue Clicked,,example,0,./img/example1.jpg,./img/example2.jpg,,,,
1,MemoryParadigm,2,Study Instruction (Screen 2),08-04-2021 14:30:11,08-04-2021 14:30:12,0.79046630859375,0.7835533618927002,Continue Clicked,,example,0,./img/example1.jpg,./img/example2.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:30:14,08-04-2021 14:30:19,5.035096645355225,,,,barn,0,./img/barn1.jpg,./img/barn4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:30:20,08-04-2021 14:30:25,5.035464763641357,,,,lobby,1,./img/lobby1.jpg,./img/lobby4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:30:27,08-04-2021 14:30:32,5.035464286804199,,,,bath,2,./img/bath1.jpg,./img/bath4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:30:33,08-04-2021 14:30:38,5.035431623458862,,,,temple,3,./img/temple1.jpg,./img/temple4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:30:40,08-04-2021 14:30:45,5.035754680633545,,,,playground,4,./img/playground1.jpg,./img/playground4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:30:46,08-04-2021 14:30:52,5.035086154937744,,,,entry,5,./img/entry1.jpg,./img/entry4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:30:53,08-04-2021 14:30:58,5.036035060882568,,,,field,6,./img/field1.jpg,./img/field4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:00,08-04-2021 14:31:05,5.036139488220215,,,,underwater,7,./img/underwater1.jpg,./img/underwater4.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:06,08-04-2021 14:31:11,5.034818410873413,,,,barn,8,./img/barn2.jpg,./img/barn5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:13,08-04-2021 14:31:18,5.034977197647095,,,,lobby,9,./img/lobby2.jpg,./img/lobby5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:19,08-04-2021 14:31:24,5.035832643508911,,,,bath,10,./img/bath2.jpg,./img/bath5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:26,08-04-2021 14:31:31,5.03502082824707,,,,temple,11,./img/temple2.jpg,./img/temple5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:32,08-04-2021 14:31:37,5.035581350326538,,,,playground,12,./img/playground2.jpg,./img/playground5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:39,08-04-2021 14:31:44,5.0352373123168945,,,,entry,13,./img/entry2.jpg,./img/entry5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:45,08-04-2021 14:31:51,5.033710718154907,,,,field,14,./img/field2.jpg,./img/field5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:52,08-04-2021 14:31:57,5.035820722579956,,,,underwater,15,./img/underwater2.jpg,./img/underwater5.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:31:59,08-04-2021 14:32:04,5.035585641860962,,,,barn,16,./img/barn3.jpg,./img/barn6.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:32:05,08-04-2021 14:32:10,5.035877466201782,,,,lobby,17,./img/lobby3.jpg,./img/lobby6.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:32:12,08-04-2021 14:32:17,5.034494876861572,,,,bath,18,./img/bath3.jpg,./img/bath6.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:32:18,08-04-2021 14:32:23,5.034961700439453,,,,temple,19,./img/temple3.jpg,./img/temple6.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:32:25,08-04-2021 14:32:30,5.081627607345581,,,,playground,20,./img/playground3.jpg,./img/playground6.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:32:31,08-04-2021 14:32:36,5.034973621368408,,,,entry,21,./img/entry3.jpg,./img/entry6.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:32:38,08-04-2021 14:32:43,5.035584449768066,,,,field,22,./img/field3.jpg,./img/field6.jpg,,,,
1,MemoryParadigm,2,Study,08-04-2021 14:32:45,08-04-2021 14:32:50,5.03562068939209,,,,underwater,23,./img/underwater3.jpg,./img/underwater6.jpg,,,,
1,MemoryParadigm,2,Instruction (last screen),08-04-2021 14:32:50,08-04-2021 14:33:30,40.50464630126953,40.49744391441345,Continue Clicked,,,0,,,,,,
1,MemoryParadigm,2,Test Instruction (Screen 1),08-04-2021 14:33:30,08-04-2021 14:33:31,0.8902716636657715,0.8832969665527344,Continue Clicked,,example,0,./img/example1.jpg,./img/example2.jpg,,,,
1,MemoryParadigm,2,Test Instruction (Screen 2),08-04-2021 14:33:31,08-04-2021 14:33:32,0.5736134052276611,0.566669225692749,Continue Clicked,,example,0,./img/example1.jpg,./img/example2.jpg,,,,
1,MemoryParadigm,2,Test Instruction (Screen 3),08-04-2021 14:33:32,08-04-2021 14:33:32,0.5903067588806152,0.5838901996612549,Continue Clicked,,example,0,./img/example1.jpg,,,,,
1,MemoryParadigm,2,Practice try#0,08-04-2021 14:33:32,08-04-2021 14:33:34,1.3632099628448486,1.3516814708709717,1,Correct,example,0,./img/example1.jpg,./img/example2.jpg,./img/example3.jpg,./img/example4.jpg,./img/example5.jpg,./img/example6.jpg
1,MemoryParadigm,2,Practice Success Screen,08-04-2021 14:33:34,08-04-2021 14:33:35,1.5491437911987305,1.5422005653381348,Continue Clicked,,,0,,,,,,
1,MemoryParadigm,2,Test:1 of 24 (Try #0),08-04-2021 14:33:35,08-04-2021 14:33:36,0.609978437423706,0.5988297462463379,1,Incorrect,barn,0,./img/barn1.jpg,./img/barn6.jpg,./img/barn7.jpg,./img/barn4.jpg,./img/barn5.jpg,./img/barn8.jpg
1,MemoryParadigm,2,Test:2 of 24 (Try #0),08-04-2021 14:33:36,08-04-2021 14:33:37,0.5802061557769775,0.5696845054626465,2,Incorrect,lobby,0,./img/lobby1.jpg,./img/lobby7.jpg,./img/lobby8.jpg,./img/lobby5.jpg,./img/lobby6.jpg,./img/lobby4.jpg
1,MemoryParadigm,2,Test:3 of 24 (Try #0),08-04-2021 14:33:38,08-04-2021 14:33:38,0.25720691680908203,0.24566650390625,4,Correct,bath,0,./img/bath1.jpg,./img/bath5.jpg,./img/bath8.jpg,./img/bath4.jpg,./img/bath6.jpg,./img/bath7.jpg
1,MemoryParadigm,2,Test:4 of 24 (Try #0),08-04-2021 14:33:38,08-04-2021 14:33:38,0.08419537544250488,0.07317137718200684,5,Incorrect,temple,0,./img/temple1.jpg,./img/temple8.jpg,./img/temple6.jpg,./img/temple5.jpg,./img/temple4.jpg,./img/temple7.jpg
1,MemoryParadigm,2,Test:5 of 24 (Try #0),08-04-2021 14:33:39,08-04-2021 14:33:39,0.025168657302856445,0.009920358657836914,3,Incorrect,playground,0,./img/playground1.jpg,./img/playground5.jpg,./img/playground4.jpg,./img/playground8.jpg,./img/playground7.jpg,./img/playground6.jpg
1,MemoryParadigm,2,Test:6 of 24 (Try #0),08-04-2021 14:33:40,08-04-2021 14:33:40,0.45927858352661133,0.4479517936706543,1,Incorrect,entry,0,./img/entry1.jpg,./img/entry8.jpg,./img/entry5.jpg,./img/entry6.jpg,./img/entry4.jpg,./img/entry3.jpg
1,MemoryParadigm,2,Test:7 of 24 (Try #0),08-04-2021 14:33:41,08-04-2021 14:33:41,0.16345739364624023,0.15175890922546387,4,Correct,field,0,./img/field1.jpg,./img/field6.jpg,./img/field8.jpg,./img/field5.jpg,./img/field7.jpg,./img/field4.jpg
1,MemoryParadigm,2,Test:8 of 24 (Try #0),08-04-2021 14:33:41,08-04-2021 14:33:41,0.10512185096740723,0.09368133544921875,2,Incorrect,underwater,0,./img/underwater1.jpg,./img/underwater5.jpg,./img/underwater4.jpg,./img/underwater7.jpg,./img/underwater6.jpg,./img/underwater8.jpg
1,MemoryParadigm,2,Test:9 of 24 (Try #0),08-04-2021 14:33:42,08-04-2021 14:33:42,0.05373334884643555,0.033748626708984375,5,Correct,barn,0,./img/barn2.jpg,./img/barn6.jpg,./img/barn7.jpg,./img/barn4.jpg,./img/barn5.jpg,./img/barn8.jpg
1,MemoryParadigm,2,Test:10 of 24 (Try #0),08-04-2021 14:33:43,08-04-2021 14:33:43,0.04886746406555176,0.03841876983642578,4,Incorrect,lobby,0,./img/lobby2.jpg,./img/lobby7.jpg,./img/lobby8.jpg,./img/lobby5.jpg,./img/lobby6.jpg,./img/lobby4.jpg
1,MemoryParadigm,2,Test:11 of 24 (Try #0),08-04-2021 14:33:43,08-04-2021 14:33:44,0.5109126567840576,0.5000720024108887,3,Incorrect,bath,0,./img/bath2.jpg,./img/bath5.jpg,./img/bath8.jpg,./img/bath4.jpg,./img/bath6.jpg,./img/bath7.jpg
1,MemoryParadigm,2,Test:12 of 24 (Try #0),08-04-2021 14:33:44,08-04-2021 14:33:44,0.06237077713012695,0.04035210609436035,1,Incorrect,temple,0,./img/temple2.jpg,./img/temple8.jpg,./img/temple6.jpg,./img/temple5.jpg,./img/temple4.jpg,./img/temple7.jpg
1,MemoryParadigm,2,Test:13 of 24 (Try #0),08-04-2021 14:33:45,08-04-2021 14:33:45,0.4882967472076416,0.4773280620574951,2,Incorrect,playground,0,./img/playground2.jpg,./img/playground5.jpg,./img/playground4.jpg,./img/playground8.jpg,./img/playground7.jpg,./img/playground6.jpg
1,MemoryParadigm,2,Test:14 of 24 (Try #0),08-04-2021 14:33:46,08-04-2021 14:33:46,0.0582270622253418,0.036199331283569336,5,Correct,entry,0,./img/entry2.jpg,./img/entry8.jpg,./img/entry5.jpg,./img/entry6.jpg,./img/entry4.jpg,./img/entry3.jpg
1,MemoryParadigm,2,Test:15 of 24 (Try #0),08-04-2021 14:33:47,08-04-2021 14:33:47,0.04496574401855469,0.03582429885864258,4,Incorrect,field,0,./img/field2.jpg,./img/field6.jpg,./img/field8.jpg,./img/field5.jpg,./img/field7.jpg,./img/field4.jpg
1,MemoryParadigm,2,Test:16 of 24 (Try #0),08-04-2021 14:33:47,08-04-2021 14:33:47,0.10079145431518555,0.08932781219482422,3,Incorrect,underwater,0,./img/underwater2.jpg,./img/underwater5.jpg,./img/underwater4.jpg,./img/underwater7.jpg,./img/underwater6.jpg,./img/underwater8.jpg
1,MemoryParadigm,2,Test:17 of 24 (Try #0),08-04-2021 14:33:48,08-04-2021 14:33:48,0.15901899337768555,0.14735150337219238,1,Incorrect,barn,0,./img/barn3.jpg,./img/barn6.jpg,./img/barn7.jpg,./img/barn4.jpg,./img/barn5.jpg,./img/barn8.jpg
1,MemoryParadigm,2,Test:18 of 24 (Try #0),08-04-2021 14:33:49,08-04-2021 14:33:49,0.03209209442138672,0.009919881820678711,2,Incorrect,lobby,0,./img/lobby3.jpg,./img/lobby7.jpg,./img/lobby8.jpg,./img/lobby5.jpg,./img/lobby6.jpg,./img/lobby4.jpg
1,MemoryParadigm,2,Test:19 of 24 (Try #0),08-04-2021 14:33:49,08-04-2021 14:33:59,10.028095006942749,,,,bath,0,./img/bath3.jpg,./img/bath5.jpg,./img/bath8.jpg,./img/bath4.jpg,./img/bath6.jpg,./img/bath7.jpg
1,MemoryParadigm,2,Time Out Warning Screen,08-04-2021 14:33:59,08-04-2021 14:34:00,1.0020503997802734,0.9916417598724365,Continue Clicked,,bath,0,./img/bath3.jpg,,,,,
1,MemoryParadigm,2,Test:19 of 24 (Try #1),08-04-2021 14:34:00,08-04-2021 14:34:09,9.062676429748535,9.050753355026245,1,Incorrect,,0,,,,,,
1,MemoryParadigm,2,Test:20 of 24 (Try #0),08-04-2021 14:34:10,08-04-2021 14:34:20,10.032641649246216,,,,temple,0,./img/temple3.jpg,./img/temple8.jpg,./img/temple6.jpg,./img/temple5.jpg,./img/temple4.jpg,./img/temple7.jpg
1,MemoryParadigm,2,Time Out Warning Screen,08-04-2021 14:34:20,08-04-2021 14:36:10,110.15921378135681,110.1487979888916,Continue Clicked,,temple,0,./img/temple3.jpg,,,,,
1,MemoryParadigm,2,Test:20 of 24 (Try #1),08-04-2021 14:36:10,08-04-2021 14:36:11,0.7619836330413818,0.7500672340393066,1,Incorrect,,0,,,,,,
1,MemoryParadigm,2,Test:21 of 24 (Try #0),08-04-2021 14:36:11,08-04-2021 14:36:16,5.078895330429077,5.066519260406494,2,Incorrect,playground,0,./img/playground3.jpg,./img/playground5.jpg,./img/playground4.jpg,./img/playground8.jpg,./img/playground7.jpg,./img/playground6.jpg
1,MemoryParadigm,2,Test:22 of 24 (Try #0),08-04-2021 14:36:17,08-04-2021 14:36:27,10.017510414123535,,,,entry,0,./img/entry3.jpg,./img/entry8.jpg,./img/entry5.jpg,./img/entry6.jpg,./img/entry4.jpg,./img/entry3.jpg
1,MemoryParadigm,2,Time Out Warning Screen,08-04-2021 14:36:27,08-04-2021 14:38:06,99.28740668296814,99.27703022956848,Continue Clicked,,entry,0,./img/entry3.jpg,,,,,
1,MemoryParadigm,2,Test:22 of 24 (Try #1),08-04-2021 14:38:06,08-04-2021 14:38:07,0.7290623188018799,0.7169086933135986,1,Incorrect,,0,,,,,,
1,MemoryParadigm,2,Test:23 of 24 (Try #0),08-04-2021 14:38:08,08-04-2021 14:38:18,10.03245997428894,,,,field,0,./img/field3.jpg,./img/field6.jpg,./img/field8.jpg,./img/field5.jpg,./img/field7.jpg,./img/field4.jpg
1,MemoryParadigm,2,Time Out Warning Screen,08-04-2021 14:38:18,08-04-2021 14:40:16,118.24346828460693,118.23305249214172,Continue Clicked,,field,0,./img/field3.jpg,,,,,
1,MemoryParadigm,2,Test:23 of 24 (Try #1),08-04-2021 14:40:16,08-04-2021 14:40:16,0.3789820671081543,0.36684346199035645,1,Incorrect,,0,,,,,,
1,MemoryParadigm,2,Test:24 of 24 (Try #0),08-04-2021 14:40:17,08-04-2021 14:40:17,0.44649481773376465,0.4340651035308838,4,Incorrect,underwater,0,./img/underwater3.jpg,./img/underwater5.jpg,./img/underwater4.jpg,./img/underwater7.jpg,./img/underwater6.jpg,./img/underwater8.jpg
